vacancy_name,company_name,latitude,longitude,district,vacancy_url
Frontend разработчик,Golden Pages,41.319393,69.319748,Mirzo Ulugbek,https://hh.ru/vacancy/128374038
Frontend Vue.js - разработчик,NEO INSURANCE CORP,41.294216,69.269388,Yakkasaray,https://hh.ru/vacancy/128554344
Frontend-разработчик,VODIY SOFT HUB,41.200287,69.237615,Yangi hayot,https://hh.ru/vacancy/127813738
Frontend-разработчик,Akbarxojayev Ziyodilla,41.3296505,69.2905625,Yunusabad,https://hh.ru/vacancy/128853598
Backend-разработчик,Akbarxojayev Ziyodilla,41.3296505,69.2905625,Yunusabad,https://hh.ru/vacancy/128851225
Senior Frontend Developer,UZINFOCOM,41.34226,69.336241,Mirzo Ulugbek,https://hh.ru/vacancy/127998998
Backend-разработчик,Prospero agency,NULL,NULL,Ташкент,https://hh.ru/vacancy/127101925
Программист Backend (Java & SpringBoot),MUK Computers,41.330418,69.284713,Yunusabad,https://hh.ru/vacancy/127979079
Senior Backend Developer (Python),UZINFOCOM,41.34226,69.336241,Mirzo Ulugbek,https://hh.ru/vacancy/127978720
Senior Backend разработчик,DOSKA (BirBir),41.288809,69.251431,Yakkasaray,https://hh.ru/vacancy/128863532
Middle Java разработчик,COSCOM ТМ Ucell,41.31114,69.27973,Yunusabad,https://hh.ru/vacancy/128863899
Java Developer (Senior),АО ANOR BANK,41.311144,69.279728,Yunusabad,https://hh.ru/vacancy/128860704
Strong Middle Backend Developer (Node.js),MULTICARD PAYMENT,41.304519,69.307036,Yashnabad,https://hh.ru/vacancy/127935923
Backend разработчик (middle),WORKORIA,NULL,NULL,Ташкент,https://hh.ru/vacancy/128851347
Fullstack-разработчик,OSON (АO BRIO GROUP),41.349544,69.319334,Yunusabad,https://hh.ru/vacancy/128374305
Бэкенд-разработчик Middle,Golden Pages,41.319393,69.319748,Mirzo Ulugbek,https://hh.ru/vacancy/127936129
Fullstack-разработчик / Web-программист,ODIL SOFT,NULL,NULL,Ташкент,https://hh.ru/vacancy/128865438
Golang-разработчик,IT GENIUS,41.33715,69.28472,Yunusabad,https://hh.ru/vacancy/128851075
