name,line,lat,lon,type
Novza,,41.2918722,69.2236165,metro
Xalqlar doʻstligi,,41.3118987,69.2430959,metro
Mirzo Ulugʻbek,,41.2820342,69.2125834,metro
Chilonzor,,41.274359,69.2049735,metro
Milliy bogʻ,,41.3033944,69.2356663,metro
G'afur G'ulom,,41.3278828,69.2458342,metro
Chorsu,,41.3258649,69.2368152,metro
Oybek,,41.2980128,69.2740501,metro
Mingoʻrik,,41.2996373,69.2744397,metro
Toshkent,,41.2932886,69.2877212,metro
Beruniy,,41.3446152,69.2062046,metro
Shahriston,,41.3531185,69.2881069,metro
Mashinasozlar,,41.2989847,69.3051276,metro
Tinchlik,,41.3323014,69.2191155,metro
Abdulla Qodiriy,,41.3201924,69.281759,metro
Minor,,41.3268923,69.2834163,metro
Bodomzor,,41.3371701,69.2845697,metro
Hamid Olimjon,,41.3181644,69.2957419,metro
Kosmonavtlar,,41.3051618,69.2647207,metro
Buyuk Ipak Yoʻli,,41.3261054,69.3285598,metro
Pushkin,,41.3219481,69.311102,metro
Amir Temur xiyoboni,,41.3126738,69.2832691,metro
Yunus Rajabiy,,41.3138871,69.2835077,metro
Alisher Navoiy,,41.3189218,69.2542973,metro
Paxtakor,,41.3177914,69.2550882,metro
Oʻzbekiston,,41.3119437,69.2534057,metro
Olmazor,,41.2566724,69.1961045,metro
Do'stlik,,41.2936401,69.3222445,metro
Mustaqillik maydoni,,41.3149453,69.2710646,metro
Yunusobod,,41.3668411,69.2923003,metro
Turkiston,,41.3775217,69.2960151,metro
Olmos,,41.281705,69.3603338,metro
Texnopark,,41.294628,69.3231867,metro
Yashnobod,,41.2975859,69.3497831,metro
Tuzel,,41.2920125,69.3561844,metro
Rohat,,41.2652907,69.3647517,metro
Yangiobod,,41.2565075,69.3587242,metro
Qo‘yliq,,41.2374579,69.3270001,metro
Matonat,,41.2444713,69.3083229,metro
Qiyot,,41.2444796,69.299728,metro
Choshtepa,,41.2382496,69.1960345,metro
O‘zgarish,,41.2273364,69.2039714,metro
Yangihayot,,41.2135099,69.214015,metro
Chinor,,41.2066965,69.2189575,metro
Tolarik,,41.2445139,69.2849568,metro
Xonobod,,41.2300103,69.2704353,metro
Quruvchilar,,41.2216367,69.2605033,metro
Qipchok,,41.2054229,69.2214112,metro
Turon,,41.2106813,69.234154,metro
,,41.3273136,69.3141701,bus
,,41.2543139,69.1970417,bus
Tabassum kafesi,,41.2529271,69.2172142,bus
пост ГАИ,,41.3464835,69.1649479,bus
