card_id,area,number_rooms,furniture,condition,date
42p0n,58,2,1,Евроремонт,2025-11-20
4ejLm,35,1,1,Евроремонт,2025-12-04
4dm52,55,2,1,Евроремонт,2025-12-04
4enOM,60,2,1,Евроремонт,2025-12-05
469gK,50,2,1,Средний,2025-12-05
4aqF2,80,2,1,Евроремонт,2025-12-05
4elIb,60,2,1,Средний,2025-12-05
4enDU,48,2,1,Евроремонт,2025-12-05
4enfa,10,2,0,Средний,2025-12-05
4enkf,33,1,1,Средний,2025-12-05
4dYGD,60,3,1,,2025-12-05
4emRS,70,3,1,Евроремонт,2025-12-05
4dY9P,60,2,1,Евроремонт,2025-12-05
4acfv,62,2,0,,2025-12-03
4bLPD,71,3,1,Средний,2025-12-05
4emjX,55,1,1,Евроремонт,2025-12-04
3ZYgu,100,5,0,Средний,2025-12-04
4dyLa,75,3,1,Евроремонт,2025-12-04
4ciuf,50,2,1,,2025-12-04
3RfRD,1,1,1,Евроремонт,2025-12-04
4elaq,59,2,0,,2025-12-04
4dm52,55,2,1,Евроремонт,2025-12-04
4ekJM,56,2,0,Средний,2025-12-04
4bYtf,52,2,1,Евроремонт,2025-12-04
4ekeW,71,3,1,Евроремонт,2025-12-04
4dWlB,78,3,1,Евроремонт,2025-12-04
3PpWH,45,3,1,Средний,2025-12-04
4ejLm,35,1,1,Евроремонт,2025-12-04
4d8Q6,70,3,1,Евроремонт,2025-12-04
4d8EC,62,2,1,Евроремонт,2025-12-04
4ejvN,48,1,1,Евроремонт,2025-12-04
4ejsV,70,3,1,Евроремонт,2025-12-04
4cicM,70,3,1,Евроремонт,2025-12-04
48WYE,75,3,1,,2025-12-04
4dvhD,62,2,1,Евроремонт,2025-12-04
479GX,68,3,1,,2025-12-04
4ej3h,45,1,1,,2025-12-04
4eiNT,69,3,1,Евроремонт,2025-12-04
47ncJ,69,3,1,Средний,2025-12-03
4eijI,60,2,1,Евроремонт,2025-12-03
4bw40,64,2,1,Евроремонт,2025-12-03
4b8b0,60,2,1,Евроремонт,2025-12-03
4acfv,62,2,0,,2025-12-03
3T5F9,87,3,1,Средний,2025-12-03
4egty,85,4,0,,2025-12-03
3VqBn,50,2,1,Средний,2025-12-03
4efU7,55,2,1,Евроремонт,2025-12-03
49EeP,50,2,1,Евроремонт,2025-12-03
483e3,50,2,1,,2025-12-03
4e8zi,43,1,0,Предчистовая отделка,2025-12-03
4aRY4,65,2,1,,2025-12-03
44466,50,2,1,,2025-12-03
4ef8Q,80,3,1,Средний,2025-12-03
4czhE,75,3,1,,2025-12-03
4dQ6w,53,2,0,Средний,2025-12-02
47N3a,60,2,1,,2025-12-02
4eeoa,42,1,1,Евроремонт,2025-12-02
32Ufw,39.85,2,1,Авторский проект,2025-12-02
4edRz,56,2,1,Евроремонт,2025-12-02
4aUEB,120,4,1,Евроремонт,2025-12-02
4edHo,77,3,1,Евроремонт,2025-12-02
4dqaY,55,2,1,Евроремонт,2025-12-02
4beWZ,64,2,0,,2025-12-02
4ecrU,76,3,1,Средний,2025-12-02
4eceR,60,2,1,Евроремонт,2025-12-02
4ecc8,30,1,1,Евроремонт,2025-12-02
4dple,100,3,1,Евроремонт,2025-12-02
4dpef,100,3,1,Евроремонт,2025-12-02
4at3B,78,3,1,Евроремонт,2025-12-02
4d0tg,40,1,1,Евроремонт,2025-12-02
4aSKA,36,1,1,Средний,2025-12-02
4doGg,40,1,0,Средний,2025-12-02
4ebrr,75,2,1,,2025-12-02
46QOk,7 272,1,1,,2025-12-01
4d033,40,1,1,Средний,2025-12-01
4eaKz,45,2,1,Евроремонт,2025-12-01
4eaxW,50,3,1,Средний,2025-12-01
4eanL,90,3,1,Авторский проект,2025-12-01
3NHRp,64,2,1,Авторский проект,2025-12-01
4dLga,70,3,1,Средний,2025-12-01
4a4Ay,60,2,1,,2025-12-01
4cYI5,55,2,1,Евроремонт,2025-12-01
4e9Fv,45,2,1,Евроремонт,2025-12-01
4ckJz,60,2,1,Евроремонт,2025-12-01
4e9xd,33,1,1,Евроремонт,2025-12-01
4cYnq,58,2,1,Авторский проект,2025-12-01
4e8Ju,54,2,0,Евроремонт,2025-12-01
3NpIQ,76,3,1,Евроремонт,2025-12-01
4a3dy,62,2,1,,2025-12-01
4a3aX,46,2,0,,2025-12-01
3OOVD,30,1,0,Средний,2025-11-30
4e7yt,40,1,1,Авторский проект,2025-11-30
3qEFI,60,3,1,Евроремонт,2025-11-30
4e6mJ,100,2,1,Средний,2025-11-30
4cWlU,65,2,1,Средний,2025-11-30
42hNh,74,3,1,,2025-11-30
4e5dj,45,2,1,Евроремонт,2025-11-30
4diE0,55,2,0,,2025-11-30
4e4Rh,45,2,1,Евроремонт,2025-11-30
4dkZ0,42,2,0,Евроремонт,2025-11-30
495Et,56,2,1,,2025-11-30
45EeM,140,3,1,,2025-11-30
3I7Aq,12,4,0,Средний,2025-11-30
4e3UA,40,1,1,Средний,2025-11-29
3ZirB,3,4,0,,2025-11-29
45Dns,600,4,1,,2025-11-29
47jiF,100,4,1,Евроремонт,2025-11-29
4blus,84,2,0,,2025-11-29
4dERP,78,3,1,Авторский проект,2025-11-29
4cg2D,75,3,1,Средний,2025-11-29
4bCNJ,400,4,1,Евроремонт,2025-11-29
4bdjv,80,3,1,Авторский проект,2025-11-29
4bD7P,55,2,0,,2025-11-29
4e1or,45,1,0,,2025-11-29
4e1lK,72,3,1,Евроремонт,2025-11-29
4dePX,60,2,1,Евроремонт,2025-11-29
491CS,74,3,1,,2025-11-28
4e0Td,77,3,1,Евроремонт,2025-11-28
4dBWu,58,2,1,,2025-11-28
3Vt60,2,4,1,,2025-11-28
3Ukvs,64,3,1,Евроремонт,2025-11-28
4dZRx,70,2,0,Евроремонт,2025-11-28
3jYCg,65,5,1,Авторский проект,2025-11-28
4clgb,12,1,1,,2025-11-28
49P8I,53,2,1,Евроремонт,2025-11-28
4dd9x,40,2,0,Евроремонт,2025-11-28
4dVNc,42,1,1,,2025-11-28
4dYFj,44,2,1,Евроремонт,2025-11-28
3ojpp,44,2,1,Средний,2025-11-28
4dXXF,45,2,1,Евроремонт,2025-11-28
4aEiU,42,1,1,,2025-11-27
3Yq1q,51,2,0,Евроремонт,2025-11-27
47b2d,140,6,0,,2025-11-27
3QNs0,400,1,0,,2025-11-27
3DoCE,33,1,0,Средний,2025-11-27
4bVlv,38,1,0,Евроремонт,2025-11-27
4cKhZ,68,3,0,Средний,2025-11-27
4dTMW,56,2,1,Евроремонт,2025-11-26
4cf87,185,5,0,Авторский проект,2025-11-26
4b5BU,70,2,1,,2025-11-26
478vf,40,1,0,Евроремонт,2025-11-26
3NIxO,2,2,1,,2025-11-26
4dSsi,1,2,1,,2025-11-26
