card_id,area,number_rooms,furniture,condition,date
44NjR,76.0,2,1,Авторский проект,2025-12-04
4d1sq,168.0,4,1,Авторский проект,2025-12-05
47eqG,140.0,4,1,Авторский проект,2025-12-05
42KoE,145.0,4,1,Авторский проект,2025-12-05
3EPfQ,220.0,4,1,Авторский проект,2025-12-05
48lfg,280.0,5,1,Авторский проект,2025-12-05
3dHLE,120.0,3,1,Авторский проект,2025-12-05
3I5ai,190.0,4,1,Авторский проект,2025-12-05
4dAVm,80.0,2,1,Евроремонт,2025-12-05
46wnq,30.0,1,1,Евроремонт,2025-12-05
4dd4c,220.0,4,1,Авторский проект,2025-12-05
4dAU4,100.0,4,1,Авторский проект,2025-12-05
3GYtz,125.0,3,1,Авторский проект,2025-12-05
2Ph41,70.0,2,1,Авторский проект,2025-12-05
45M2B,140.0,4,1,Авторский проект,2025-12-05
4e9vh,64.0,2,1,Евроремонт,2025-12-05
33Uxg,100.0,3,1,Авторский проект,2025-12-05
3Bv7R,73.0,2,1,Авторский проект,2025-12-05
4dAQl,75.0,3,1,Евроремонт,2025-12-05
35VO5,120.0,3,1,Евроремонт,2025-12-05
2CRO5,103.0,3,1,Евроремонт,2025-12-05
3bfZN,60.0,2,1,Средний,2025-12-05
2WBn6,75.0,3,1,Евроремонт,2025-12-05
3vToN,151.0,4,1,,2025-12-05
3s8eF,60.0,2,1,Евроремонт,2025-12-05
38vCd,50.0,2,1,,2025-12-05
43HNt,55.0,2,1,Евроремонт,2025-12-03
4d3Rz,60.0,2,1,Евроремонт,2025-12-02
4eaei,90.0,3,1,,2025-12-04
3W0Y2,85.0,2,1,Авторский проект,2025-12-05
3sl9X,65.0,2,1,Евроремонт,2025-12-05
4dAPM,80.0,3,1,Евроремонт,2025-12-05
4dAPg,60.0,2,1,Евроремонт,2025-12-05
4bOE0,75.0,3,1,Авторский проект,2025-12-05
3daDI,175.0,4,1,Авторский проект,2025-12-05
3T9y4,70.0,2,1,Евроремонт,2025-12-05
SrhY,120.0,3,1,Авторский проект,2025-12-05
3EGKl,80.0,2,1,Авторский проект,2025-12-05
458bq,125.0,3,1,Авторский проект,2025-12-05
3Rp02,65.0,2,1,Авторский проект,2025-12-05
4djmQ,125.0,3,1,Авторский проект,2025-12-04
3RD7W,108.0,3,1,,2025-12-04
4eo2r,70.0,2,1,Авторский проект,2025-12-05
314R4,65.0,2,1,Авторский проект,2025-12-05
3CnI7,143.0,4,1,Авторский проект,2025-12-05
4dcWJ,54.0,2,1,,2025-12-05
4dcWD,60.0,2,1,Авторский проект,2025-12-05
4eo0v,65.0,2,1,Евроремонт,2025-12-05
4eo1z,70.0,2,1,Авторский проект,2025-12-05
4dcTE,65.0,2,1,Авторский проект,2025-12-05
3EbGp,150.0,4,1,Авторский проект,2025-12-05
43418,65.0,2,1,Авторский проект,2025-12-05
4402h,65.0,2,1,Авторский проект,2025-12-03
45Md4,105.0,3,1,Авторский проект,2025-12-05
447u9,105.0,3,1,Авторский проект,2025-12-02
3YVo9,101.0,3,1,Евроремонт,2025-12-05
4enXI,57.0,2,1,Евроремонт,2025-12-05
4dAHL,70.0,3,1,Евроремонт,2025-12-05
4dZjw,60.0,2,1,Авторский проект,2025-12-05
4e9vh,64.0,2,1,Евроремонт,2025-12-05
4d1Zk,45.0,2,1,Евроремонт,2025-12-05
3LS6Y,80.0,2,1,Евроремонт,2025-12-05
3LJ6K,130.0,3,1,Евроремонт,2025-12-05
3LDfU,80.0,2,1,Евроремонт,2025-12-05
3FZw0,100.0,3,1,Авторский проект,2025-12-05
4ddf1,110.0,3,1,Авторский проект,2025-12-02
3OOIq,118.0,3,1,Авторский проект,2025-12-05
