card_id,area,number_rooms,furniture,condition,date
4bBDZ,270.0,6,1,Авторский проект,2025-12-03
46MsF,75.0,2,1,Авторский проект,2025-12-04
4e89j,70.0,3,1,Евроремонт,2025-12-05
33kNC,90.0,3,1,,2025-12-05
2H0j0,120.0,3,1,Евроремонт,2025-12-05
3jHut,175.0,3,1,,2025-12-05
4eeCb,45.0,2,1,Евроремонт,2025-12-05
4e9LD,107.0,3,1,Евроремонт,2025-12-05
4dAVd,93.0,3,1,,2025-12-05
4egZw,40.0,1,1,Евроремонт,2025-12-05
4eoav,54.0,2,1,Авторский проект,2025-12-05
4dZyP,80.0,3,1,Евроремонт,2025-12-05
4dvmK,60.0,2,1,Авторский проект,2025-12-05
4egWd,51.0,2,1,Авторский проект,2025-12-03
4bSTc,71.3,3,1,Авторский проект,2025-12-04
4cOCz,50.0,2,1,Авторский проект,2025-11-07
3RNE8,85.0,3,1,Авторский проект,2025-12-05
41UI9,50.0,2,1,Евроремонт,2025-12-05
36MxT,64.0,3,1,Евроремонт,2025-12-05
4aC8C,53.0,2,1,Средний,2025-12-05
4eo8B,54.0,2,1,Средний,2025-12-05
3Ez5m,60.0,2,1,Евроремонт,2025-12-05
44mih,100.0,4,1,,2025-12-05
3aj5f,70.0,3,1,Евроремонт,2025-12-05
4eo7l,75.0,2,1,Средний,2025-12-05
4eo79,54.0,2,1,Авторский проект,2025-12-05
4ejoP,38.0,1,1,Авторский проект,2025-12-04
3IgAx,40.0,1,1,,2025-12-03
4dQhp,108.0,3,1,,2025-12-04
4dd10,28.0,1,1,Евроремонт,2025-12-05
33Djm,110.0,3,1,Авторский проект,2025-12-05
49dQM,60.0,2,1,,2025-12-05
4dAQH,55.0,2,1,Средний,2025-12-05
3L1XR,60.0,2,1,Евроремонт,2025-12-05
3W10m,110.0,2,1,Авторский проект,2025-12-05
3hCZO,85.0,3,1,,2025-12-05
4dAPN,50.0,2,1,Авторский проект,2025-12-05
4dAPB,35.0,2,1,Авторский проект,2025-12-05
4dAOJ,75.0,3,1,Авторский проект,2025-12-05
43BKv,65.0,2,1,Евроремонт,2025-12-03
4enfo,155.0,6,1,Евроремонт,2025-12-05
4ef3Q,50.0,2,1,Средний,2025-12-05
4dANU,60.0,2,1,Евроремонт,2025-12-05
4dANs,42.0,1,0,Евроремонт,2025-12-05
3Cylg,130.0,3,1,Авторский проект,2025-12-05
4dAN9,70.0,3,1,Авторский проект,2025-12-05
4eo0W,73.0,3,1,Евроремонт,2025-12-05
4enSj,120.0,2,1,Евроремонт,2025-12-05
4egQ3,60.0,2,1,Евроремонт,2025-12-05
4dAL1,45.0,2,1,Евроремонт,2025-12-05
4enYD,35.0,1,1,Евроремонт,2025-12-05
4enY5,60.0,2,1,,2025-12-05
4cIEl,100.0,3,1,Евроремонт,2025-12-02
3NTMl,33.0,1,1,Евроремонт,2025-11-18
44TBQ,70.0,2,1,Авторский проект,2025-12-03
4enX7,38.0,1,1,,2025-12-05
4enYS,59.0,2,1,,2025-12-05
37zsR,55.0,2,1,Евроремонт,2025-12-05
4dAII,110.0,4,1,Евроремонт,2025-12-05
3B5Ag,45.0,2,1,,2025-12-05
4dAHD,45.0,2,1,Евроремонт,2025-12-05
4avuF,61.0,2,1,Евроремонт,2025-12-05
4dAHq,65.0,4,1,Авторский проект,2025-12-05
4enUT,50.0,2,1,,2025-12-05
3H5Wj,115.0,3,1,Авторский проект,2025-12-05
4e5k9,50.0,2,1,Авторский проект,2025-12-04
4edPs,66.0,2,1,Евроремонт,2025-12-02
43CVl,60.0,2,1,Авторский проект,2025-12-03
44pDA,85.0,3,1,Авторский проект,2025-12-05
4enUY,70.0,2,1,Евроремонт,2025-12-05
4dAF9,80.0,3,1,Средний,2025-12-05
4egK5,50.0,2,1,Евроремонт,2025-12-05
4enO7,35.0,1,1,Авторский проект,2025-12-05
4dZgB,100.0,4,1,Евроремонт,2025-12-05
4bEGQ,150.0,3,1,Авторский проект,2025-12-05
4enRP,58.0,2,1,Евроремонт,2025-12-05
3tICm,85.0,3,1,Средний,2025-12-05
3zenp,65.0,2,1,,2025-12-05
4dfbs,180.0,4,1,Авторский проект,2025-12-03
4ak1t,130.0,4,1,Евроремонт,2025-12-05
4d4kY,70.0,2,1,Авторский проект,2025-12-03
3a0VC,55.0,2,1,Евроремонт,2025-12-05
3BLtG,60.0,3,1,Евроремонт,2025-12-05
2PJHh,70.0,3,1,Евроремонт,2025-12-05
3BPJI,50.0,2,1,Авторский проект,2025-12-05
3AigD,140.0,3,1,Авторский проект,2025-12-05
3FIkO,75.0,3,1,Евроремонт,2025-12-05
3wUOg,53.0,2,1,Евроремонт,2025-12-05
3aAHj,62.0,2,1,Евроремонт,2025-12-05
39lnr,54.0,2,1,Евроремонт,2025-12-05
390Jp,65.0,2,1,Евроремонт,2025-12-05
3KZYu,140.0,4,1,Авторский проект,2025-12-03
4egK5,50.0,2,1,Евроремонт,2025-12-05
4elsh,50.0,2,1,Евроремонт,2025-12-04
3KrI5,68.0,3,1,Евроремонт,2025-12-05
4enQ4,40.0,1,1,Евроремонт,2025-12-05
4dAB0,65.0,2,1,Евроремонт,2025-12-05
2Mm0q,105.0,4,1,Евроремонт,2025-12-05
34ZOa,80.0,3,1,Авторский проект,2025-12-05
4dAAx,65.0,4,1,Евроремонт,2025-12-05
4dZcO,70.0,3,1,,2025-12-05
4enJS,60.0,2,1,Евроремонт,2025-12-05
4enO0,30.0,1,1,,2025-12-05
3koZS,100.0,3,1,Евроремонт,2025-12-05
4cXPw,110.0,3,1,Евроремонт,2025-11-15
4edXT,60.0,2,1,Евроремонт,2025-12-02
4ectU,75.0,3,1,Авторский проект,2025-12-02
4enKN,60.0,2,1,,2025-12-05
1I6yw,70.0,2,1,,2025-12-05
4ckyQ,75.0,3,1,Авторский проект,2025-12-05
4enLW,80.0,2,1,Евроремонт,2025-12-05
4cDiJ,66.0,3,1,Авторский проект,2025-12-05
4enJi,76.0,2,1,Средний,2025-12-05
4dAvT,65.0,2,1,Евроремонт,2025-12-05
3QBNk,55.0,2,1,Евроремонт,2025-12-05
4dZ6w,75.0,3,1,Евроремонт,2025-12-05
4cUXR,105.0,4,1,Евроремонт,2025-12-05
4bEGQ,150.0,3,1,Авторский проект,2025-12-05
4ei0g,17.0,2,1,Евроремонт,2025-12-03
36MxT,64.0,3,1,Евроремонт,2025-12-05
4edAz,48.0,2,1,,2025-12-05
3zQ8U,85.0,3,1,Евроремонт,2025-12-05
4dZ5j,47.0,2,1,Евроремонт,2025-12-05
44pKv,60.0,2,1,,2025-12-05
3PPEa,55.0,2,1,Авторский проект,2025-12-05
3DoXP,50.0,2,1,Евроремонт,2025-12-05
3awHN,55.0,2,1,Авторский проект,2025-12-05
3Ezfh,56.0,2,1,Евроремонт,2025-12-05
3DUbI,71.0,2,1,Евроремонт,2025-12-05
3ZN08,100.0,2,1,Евроремонт,2025-12-05
4dFCq,83.0,3,1,Евроремонт,2025-12-03
4a2no,75.0,3,1,Авторский проект,2025-12-03
4egQ3,60.0,2,1,Евроремонт,2025-12-05
3dvft,60.0,2,1,Евроремонт,2025-12-05
3aYeM,90.0,3,1,Евроремонт,2025-12-05
372Pa,75.0,3,1,Евроремонт,2025-12-05
3EfOA,2.0,2,1,Евроремонт,2025-12-05
45cuB,55.0,2,1,Евроремонт,2025-12-05
4dZ2C,60.0,2,1,Средний,2025-12-05
4e2Kb,50.0,2,1,,2025-12-05
42GLi,51.0,2,1,,2025-12-05
4ak1t,130.0,4,1,Евроремонт,2025-12-05
4enCs,60.0,2,1,Евроремонт,2025-12-05
40Olt,50.0,2,1,,2025-12-03
43oCV,50.0,2,1,,2025-12-03
