card_id,area,number_rooms,furniture,condition,date
4bMQT,100,4,1,Евроремонт,2025-12-05
3UO4C,47,2,1,Евроремонт,2025-12-04
4dzC1,56,2,1,Евроремонт,2025-12-03
4dZx6,70,3,1,Евроремонт,2025-12-05
34nsi,51,2,1,Авторский проект,2025-12-05
3SQsu,77,3,1,Евроремонт,2025-12-05
41dSa,70,2,1,Евроремонт,2025-12-05
4dd0C,100,4,1,,2025-12-05
3SQg3,80,3,1,Евроремонт,2025-12-05
4eef3,65,3,1,Средний,2025-12-05
4eo2i,58,2,1,Евроремонт,2025-12-05
4cHcf,55,2,1,,2025-12-05
4btVr,40,1,0,Предчистовая отделка,2025-12-03
4dEFF,60,2,1,,2025-12-03
4eef3,65,3,1,Средний,2025-12-05
4enYE,75,3,1,Средний,2025-12-05
49N45,75,3,1,Евроремонт,2025-12-05
4enUh,65,2,1,Средний,2025-12-05
4enSF,60,1,1,,2025-12-05
4enS0,60,2,1,,2025-12-05
4enTk,72,3,1,Евроремонт,2025-12-05
4enQX,78,2,1,Евроремонт,2025-12-05
3gAa2,73,3,1,Авторский проект,2025-12-05
4enNJ,50,1,1,,2025-12-05
4bOUK,130,4,1,Евроремонт,2025-12-02
3vvR0,500,1,1,Авторский проект,2025-12-05
4c228,100,1,1,Средний,2025-12-03
3gz93,62,2,1,Евроремонт,2025-12-05
3r5LK,62,2,1,Евроремонт,2025-12-05
4cqmI,80,3,1,Евроремонт,2025-12-05
44f4r,65,2,1,Евроремонт,2025-12-05
41e1P,60,2,1,Авторский проект,2025-12-05
4enBg,56,2,1,Евроремонт,2025-12-05
4emZc,60,2,1,,2025-12-05
4enAL,56,2,1,Евроремонт,2025-12-05
4enuJ,60,2,1,Авторский проект,2025-12-05
4ennq,92,2,1,Евроремонт,2025-12-05
4enTk,72,3,1,Евроремонт,2025-12-05
4elPH,45,2,1,Средний,2025-12-04
3ZmQG,60,2,1,Евроремонт,2025-12-05
4enqb,60,2,1,Евроремонт,2025-12-05
3YTDa,60,2,1,Евроремонт,2025-12-05
4dckl,73,3,1,Евроремонт,2025-12-05
3YTuZ,60,2,1,Евроремонт,2025-12-05
4enk4,48,2,0,Средний,2025-12-05
4dci6,50,2,1,Евроремонт,2025-12-05
4emY2,60,2,1,,2025-12-05
4b3Gc,60,2,1,,2025-12-05
4el5g,60,2,1,Евроремонт,2025-12-05
4emL9,70,3,1,Евроремонт,2025-12-05
4btVr,40,1,0,Предчистовая отделка,2025-12-03
3UO4C,47,2,1,Евроремонт,2025-12-04
4edOu,62,1,1,Евроремонт,2025-12-02
4bMQT,100,4,1,Евроремонт,2025-12-05
4emJv,60,2,1,,2025-12-05
4enet,18,1,1,,2025-12-05
4e52v,100,4,1,Средний,2025-12-05
4enbq,60,3,1,Средний,2025-12-05
4enaB,100,4,1,,2025-12-05
4dqdV,77,3,1,,2025-12-05
3WhBE,68,2,1,Евроремонт,2025-12-05
2LMpr,55,2,1,Авторский проект,2025-12-05
4cjT1,75,3,1,Евроремонт,2025-12-05
47aoF,65,3,1,Евроремонт,2025-12-05
3ZmQG,60,2,1,Евроремонт,2025-12-05
4dEFF,60,2,1,,2025-12-03
3TP2u,60,3,1,Евроремонт,2025-12-05
4emP1,40,1,1,,2025-12-05
4eiBW,56,3,1,Средний,2025-12-05
4cVTT,63,2,1,Евроремонт,2025-12-05
4733S,60,2,1,Евроремонт,2025-12-05
4dzGH,52,2,1,Евроремонт,2025-12-05
4emPj,20,1,1,,2025-12-05
49mOW,350,3,1,Авторский проект,2025-12-05
47ixA,80,3,1,Евроремонт,2025-12-05
4emKa,80,3,1,Евроремонт,2025-12-05
4bMQT,100,4,1,Евроремонт,2025-12-05
3vvR0,500,1,1,Авторский проект,2025-12-05
3FCsF,80,3,1,Евроремонт,2025-12-05
4bbT7,65,2,1,Евроремонт,2025-12-05
42BpG,70,2,1,Евроремонт,2025-12-05
4cKUT,62,2,1,Евроремонт,2025-12-05
3n99G,72,3,1,Евроремонт,2025-12-05
4dzyR,55,2,1,Евроремонт,2025-12-05
4emIu,38,1,0,Средний,2025-12-05
4dY8X,31,1,1,Средний,2025-12-05
4emHr,85,3,1,Евроремонт,2025-12-05
3Tcce,3,3,0,,2025-12-05
3nMV7,400,4,0,Средний,2025-12-05
3u9Fj,400,4,1,Евроремонт,2025-12-05
4dD8f,30,2,0,Средний,2025-12-05
3oMZ1,120,2,1,Евроремонт,2025-12-05
47aoF,65,3,1,Евроремонт,2025-12-05
3ZmQG,60,2,1,Евроремонт,2025-12-05
4bsrL,50,2,1,Евроремонт,2025-12-05
4bssU,65,3,1,Евроремонт,2025-12-05
3NQxE,65,2,1,,2025-12-05
3NTH7,70,3,1,,2025-12-05
44GAC,60,2,1,,2025-12-05
4dXYE,60,2,1,,2025-12-05
4dXY6,50,2,1,,2025-12-05
4dbs6,55,2,1,Евроремонт,2025-12-05
4em5x,62,3,1,,2025-12-05
4em2D,87,2,1,Евроремонт,2025-12-05
4em1L,57,3,1,Средний,2025-12-05
3Ymmx,56,2,1,Евроремонт,2025-12-05
3YcqC,69,2,1,Евроремонт,2025-12-05
3Wx1u,60,2,1,Евроремонт,2025-12-05
3XUFj,70,2,1,Евроремонт,2025-12-05
4elXS,6,2,0,Евроремонт,2025-12-05
3N7ZF,42,2,1,Евроремонт,2025-12-05
3vvR0,500,1,1,Авторский проект,2025-12-05
4empW,60,2,1,Авторский проект,2025-12-05
4empN,65,2,1,Евроремонт,2025-12-05
475id,37,1,0,Средний,2025-12-04
3A1qC,37,1,1,Евроремонт,2025-12-04
4dbgg,70,3,1,Евроремонт,2025-12-04
3UO4C,47,2,1,Евроремонт,2025-12-04
4emfw,52,2,0,Евроремонт,2025-12-04
37mK2,90,3,1,,2025-12-04
48JhZ,1,2,1,Евроремонт,2025-12-04
3Spqm,58,2,1,Евроремонт,2025-12-04
3S17L,75,3,1,Авторский проект,2025-12-04
45W6I,85,3,1,Авторский проект,2025-12-04
47VrC,80,2,1,Средний,2025-12-04
4elCi,45,2,0,,2025-12-04
4em1I,38,1,0,Средний,2025-12-04
44dwj,20,2,1,Евроремонт,2025-12-04
4elAd,45,2,1,Евроремонт,2025-12-04
4daTD,56,2,0,Средний,2025-12-04
4elSp,56,2,1,Авторский проект,2025-12-04
4cG1F,94,3,1,Авторский проект,2025-12-04
4dXj1,76,3,1,Средний,2025-12-04
3DT4n,22,3,1,Евроремонт,2025-12-04
4elPH,45,2,1,Средний,2025-12-04
4elve,36,2,1,Евроремонт,2025-12-04
4elwP,40,1,1,Евроремонт,2025-12-04
4elOI,120,3,1,,2025-12-04
4ell5,90,3,1,Евроремонт,2025-12-04
4dX6H,64,2,1,Авторский проект,2025-12-04
3VGT1,60,3,1,Средний,2025-12-04
33HbR,45,2,0,,2025-12-04
4elrZ,21,1,0,Средний,2025-12-04
4elrK,56,2,1,,2025-12-04
4elp1,67,2,1,Евроремонт,2025-12-04
4cyP0,58,3,0,Евроремонт,2025-12-04
4elic,33,1,0,Средний,2025-12-04
4ele3,54,2,1,Евроремонт,2025-12-04
42xmz,53,2,1,Средний,2025-12-04
3gpDT,55,2,1,Авторский проект,2025-12-04
3PraY,71.60,3,1,Предчистовая отделка,2025-12-04
4dxXX,70,3,1,Авторский проект,2025-12-04
4dxXL,68,2,1,Евроремонт,2025-12-04
4da1W,60,2,1,Евроремонт,2025-12-04
3tlDn,45,2,1,,2025-12-04
4ekXL,76,2,1,Евроремонт,2025-12-04
41Eqa,70,3,1,Средний,2025-12-04
4dxNk,60,2,1,Евроремонт,2025-12-04
3Pr00,60,2,1,Средний,2025-12-04
4ekT4,55,2,1,Авторский проект,2025-12-04
3h4pn,56,2,1,Авторский проект,2025-12-04
4dxHT,95,4,1,Евроремонт,2025-12-04
39Hiz,80,3,1,Авторский проект,2025-12-04
4chuc,186,5,1,Авторский проект,2025-12-04
4dxlf,67,2,1,Евроремонт,2025-12-04
4dxkv,200,5,1,Средний,2025-12-04
4ekqM,33,1,1,Средний,2025-12-04
3grQc,55,2,1,Авторский проект,2025-12-04
4eiRN,60,2,1,Средний,2025-12-04
3gmSz,64,2,1,Авторский проект,2025-12-04
4ekkU,50,2,0,Евроремонт,2025-12-04
4ekhT,75,3,1,Евроремонт,2025-12-04
4d9jR,40,1,0,Средний,2025-12-04
4ekh4,50,2,1,,2025-12-04
4ekfw,45,1,1,,2025-12-04
4ekci,60,2,1,,2025-12-04
368WN,60,2,1,Средний,2025-12-04
4ek7P,60,2,1,,2025-12-04
38ond,48,2,1,Средний,2025-12-04
4dx3B,30,1,1,Евроремонт,2025-12-04
4c64d,450,3,1,Авторский проект,2025-12-04
4d9b4,60,2,1,Авторский проект,2025-12-04
4ek6R,60,2,1,Средний,2025-12-04
48UOa,50,1,1,Евроремонт,2025-12-04
4ejzv,24,3,1,Средний,2025-12-04
4ek21,40,1,1,,2025-12-04
3hTIO,200,6,1,Авторский проект,2025-12-04
4ek1b,52,2,1,Евроремонт,2025-12-04
4ejZz,75,3,1,Евроремонт,2025-12-04
4dKV4,75,2,1,Евроремонт,2025-12-04
4ejYK,60,2,1,,2025-12-04
4d90x,66,2,1,Авторский проект,2025-12-04
4ejWD,50,2,1,Евроремонт,2025-12-04
4d8XK,45,1,1,Авторский проект,2025-12-04
4dvL1,88,2,1,Евроремонт,2025-12-04
4dvJP,45,1,1,,2025-12-04
4ejMI,52,2,1,,2025-12-04
4chWG,74,3,0,Средний,2025-12-04
4ejGR,90,3,1,Евроремонт,2025-12-04
4e58n,50,2,1,Евроремонт,2025-12-04
3PpH9,78,3,0,Средний,2025-12-04
3UPuZ,53,2,1,Авторский проект,2025-12-04
3502g,65,2,1,Авторский проект,2025-12-04
3ELiM,75,2,1,Евроремонт,2025-12-04
4aBFm,58,2,1,Евроремонт,2025-12-04
3wtNO,65,2,1,Евроремонт,2025-12-04
4dUOQ,70,2,0,Авторский проект,2025-12-04
3NXL3,60,2,1,,2025-12-04
46WIe,65,2,1,Евроремонт,2025-12-04
4bswA,60,2,1,Евроремонт,2025-12-04
455ll,65,2,1,,2025-12-04
4ccQe,58,2,1,Средний,2025-12-04
3Y5a5,88,3,1,Евроремонт,2025-12-04
4dtgn,55,2,1,Евроремонт,2025-12-04
4ehcE,90,4,1,,2025-12-04
49Kvk,88,2,1,Средний,2025-12-04
4dY8M,52,2,0,Евроремонт,2025-12-04
40Ret,65,2,1,Авторский проект,2025-12-04
49cFh,32.50,1,1,Средний,2025-12-04
4aBua,60,2,1,Евроремонт,2025-12-04
4aIFu,57,1,1,Средний,2025-12-04
