card_id,area,number_rooms,furniture,condition,date
3dCy1,77,2,1,Авторский проект,2025-12-04
44hTR,65,2,1,Авторский проект,2025-12-04
4a16K,58,2,1,Евроремонт,2025-12-05
4duLO,60,2,1,Авторский проект,2025-12-05
3ica6,69,3,1,Евроремонт,2025-12-05
3fMin,44,2,0,Средний,2025-12-05
48syN,60,3,1,Средний,2025-12-05
3DbZz,50,2,1,Авторский проект,2025-12-05
4dcYQ,110,3,1,Авторский проект,2025-12-05
4dcXY,110,3,1,Авторский проект,2025-12-05
3fKQZ,75,2,1,Евроремонт,2025-12-05
4dZrn,85,3,1,Евроремонт,2025-12-05
4dcXu,70,2,1,Авторский проект,2025-12-05
3o6F6,70,2,1,Авторский проект,2025-12-04
450Om,75,2,1,Авторский проект,2025-12-05
3P4v4,118,3,1,Авторский проект,2025-12-03
4enWT,72,1,1,Авторский проект,2025-12-05
4eo3b,70,2,1,Авторский проект,2025-12-05
4dcVE,70,2,1,Авторский проект,2025-12-05
42Ky3,108,3,1,Авторский проект,2025-12-05
4dcVi,70,2,1,Авторский проект,2025-12-05
46QGo,105,3,1,Авторский проект,2025-12-05
4dAMy,65,2,1,Евроремонт,2025-12-05
4eo1B,63,2,1,Евроремонт,2025-12-05
47efI,115,3,1,Авторский проект,2025-12-05
444k1,140,4,1,Авторский проект,2025-12-04
4ddOi,125,3,1,Авторский проект,2025-12-02
42OGB,105,3,1,Авторский проект,2025-12-03
4enZ2,320,5,1,Авторский проект,2025-12-05
4dcSD,70,2,1,Авторский проект,2025-12-05
4edxw,55,2,1,Евроремонт,2025-12-05
4dcQI,70,2,1,Авторский проект,2025-12-05
33LGQ,46,1,1,Евроремонт,2025-12-05
4dcPD,70,2,1,Авторский проект,2025-12-05
4dcOo,110,3,1,Авторский проект,2025-12-05
4enPV,59,2,1,Авторский проект,2025-12-05
4bS5Y,75,2,1,Авторский проект,2025-12-05
4dcNs,57,2,1,Евроремонт,2025-12-05
4dp6R,110,3,1,Авторский проект,2025-12-02
4cu5z,64,2,1,Евроремонт,2025-12-04
4dpkO,70,2,1,Авторский проект,2025-12-03
3q6ZS,77,2,1,Авторский проект,2025-12-05
3qGkP,128,3,1,Авторский проект,2025-12-05
42JvK,55,2,1,Авторский проект,2025-12-05
4dAD4,140,4,1,Авторский проект,2025-12-05
4dZfv,75,3,1,Евроремонт,2025-12-05
3OOOL,50,2,1,Евроремонт,2025-12-05
3i8N5,67,2,1,Авторский проект,2025-12-05
4ed3a,90,3,1,Авторский проект,2025-12-05
3V6dv,90,3,1,Авторский проект,2025-12-05
3ugfI,70,2,1,Евроремонт,2025-12-05
39pgq,70,2,1,Авторский проект,2025-12-05
3qGnL,125,3,1,Авторский проект,2025-12-05
3OoOm,115,3,1,Авторский проект,2025-12-05
4dABF,65,2,1,Евроремонт,2025-12-05
4ed1Y,75,2,1,Авторский проект,2025-12-05
4enPk,74,2,1,Авторский проект,2025-12-05
3FVtQ,75,2,1,Авторский проект,2025-12-05
4dZ8M,65,2,1,Евроремонт,2025-12-05
4enJj,55,2,1,Евроремонт,2025-12-05
44Kx9,40,1,1,Евроремонт,2025-12-05
4dZ6Q,55,2,1,,2025-12-05
4dcDR,112,3,1,Евроремонт,2025-12-05
4enIu,60,2,1,Средний,2025-12-05
4eckN,53,2,1,Евроремонт,2025-12-04
4aKlG,110,3,1,Авторский проект,2025-12-05
4c8Ay,110,3,1,Авторский проект,2025-12-02
4dZ5N,48,2,1,Евроремонт,2025-12-05
447TF,80,2,1,Авторский проект,2025-12-05
45w3m,150,4,1,Авторский проект,2025-12-05
4b4Kl,92,3,1,Авторский проект,2025-12-05
45gqo,200,4,1,Авторский проект,2025-12-05
47s54,120,3,1,Авторский проект,2025-12-05
46CPL,110,3,1,Авторский проект,2025-12-05
3vWsS,75,2,1,Авторский проект,2025-12-05
4dZ1u,77,2,1,Евроремонт,2025-12-05
4a16K,58,2,1,Евроремонт,2025-12-05
4dpes,125,3,1,Авторский проект,2025-12-03
4ddlk,70,2,1,Авторский проект,2025-12-02
44S8I,4 000,8,0,Евроремонт,2025-11-21
41kJV,56,2,1,Авторский проект,2025-12-05
4dAnh,75,3,1,,2025-12-05
4dcuz,62,2,1,Авторский проект,2025-12-05
4dcsu,50,2,1,Авторский проект,2025-12-05
4enxg,60,2,1,Евроремонт,2025-12-05
3daUs,115,3,1,Авторский проект,2025-12-05
4dAiF,45,2,1,Евроремонт,2025-12-05
4aKlG,110,3,1,Авторский проект,2025-12-05
341hS,70,2,1,Евроремонт,2025-12-05
4enoL,80,3,1,Евроремонт,2025-12-05
46Kqi,80,2,1,Авторский проект,2025-12-04
45uYi,65,2,1,Авторский проект,2025-12-03
4egwI,86,3,1,,2025-12-03
3mIrV,65,3,1,,2025-12-05
4entc,55,2,1,Евроремонт,2025-12-05
4ennW,50,2,1,Евроремонт,2025-12-05
4dcnA,50,2,1,Евроремонт,2025-12-05
4dAfY,50,2,1,Евроремонт,2025-12-05
35Pwy,100,3,1,Авторский проект,2025-12-05
3YYN1,120,3,1,Евроремонт,2025-12-05
2FdDR,70,2,1,Евроремонт,2025-12-05
3wFlo,50,1,1,Евроремонт,2025-12-05
37DeC,74,2,1,Авторский проект,2025-12-05
44qbq,120,3,1,Авторский проект,2025-12-03
3de2q,125,3,1,Авторский проект,2025-12-04
3vWsS,75,2,1,Авторский проект,2025-12-05
1YV87,120,3,1,Евроремонт,2025-12-05
4aN1z,120,3,1,Авторский проект,2025-12-05
4bnUo,70,2,1,Авторский проект,2025-12-05
4dYMo,72,3,1,Евроремонт,2025-12-05
4dYM2,132,4,1,Евроремонт,2025-12-05
46ASn,65,2,1,Евроремонт,2025-12-05
3IZvt,65,2,1,Авторский проект,2025-12-05
3yqTa,87,2,1,Евроремонт,2025-12-05
3nUEj,104,3,1,Евроремонт,2025-12-05
3giwp,108,3,1,Авторский проект,2025-12-05
4dkV1,125,3,1,Авторский проект,2025-12-05
4dvhC,115,3,1,Авторский проект,2025-12-05
47s54,120,3,1,Авторский проект,2025-12-05
3DuBk,125,3,1,Авторский проект,2025-12-05
3f0Hq,77,2,1,Авторский проект,2025-12-05
4dYEz,68,2,1,Авторский проект,2025-12-05
4dYDX,112,3,1,Евроремонт,2025-12-05
4dA3C,78,2,1,Евроремонт,2025-12-05
