card_id,area,number_rooms,furniture,condition,date
4egMI,6,3,1.0,,2025-12-03
4dtDJ,1,5,1.0,,2025-12-05
4bXkt,60,2,0.0,Средний,2025-11-29
3SDDW,34,2,1.0,Авторский проект,2025-12-05
4dACq,50,2,1.0,Авторский проект,2025-12-05
4enMW,29,1,1.0,Евроремонт,2025-12-05
4enBI,50,2,1.0,Авторский проект,2025-12-05
4emXV,55,2,1.0,Евроремонт,2025-12-05
2Xu0T,50,3,1.0,Средний,2025-12-05
4dzVu,38,1,1.0,Авторский проект,2025-12-05
4en46,36,1,1.0,Средний,2025-12-05
4emYz,61,2,1.0,Евроремонт,2025-12-05
4aG02,27,1,1.0,Средний,2025-12-05
4ee1P,62,2,1.0,,2025-12-02
4ecQC,68,3,1.0,Средний,2025-12-02
4emUy,36,1,1.0,Евроремонт,2025-12-05
3UUW7,40,2,1.0,Евроремонт,2025-12-05
49w5a,58,2,1.0,Средний,2025-12-04
3Buf7,100,4,1.0,Средний,2025-12-04
4elvH,30,2,1.0,Средний,2025-12-04
4ekPe,54 545,3,0.0,Средний,2025-12-04
49odA,58,2,0.0,Средний,2025-12-04
4alra,60,2,0.0,Средний,2025-12-04
4dy3r,42,1,1.0,Евроремонт,2025-12-04
4el4L,50,2,1.0,Авторский проект,2025-12-04
4czAM,60,2,1.0,Евроремонт,2025-12-04
4ekhV,52,2,1.0,Средний,2025-12-04
4ekee,70,3,1.0,,2025-12-04
4ekaO,55,2,1.0,Евроремонт,2025-12-04
4dvXx,38,2,1.0,Евроремонт,2025-12-04
47OBK,68,3,1.0,Средний,2025-12-04
4ejLc,80,3,1.0,Евроремонт,2025-12-04
4ejIN,48,2,1.0,Средний,2025-12-04
4ejHp,80,3,1.0,Евроремонт,2025-12-04
4aZXe,85,3,1.0,Средний,2025-12-04
4dUrC,50,2,1.0,Авторский проект,2025-12-04
4eiVr,75,2,1.0,Евроремонт,2025-12-04
3YO5b,100,100,1.0,,2025-12-03
4ei4e,45,1,1.0,Евроремонт,2025-12-03
4ei9f,40,1,1.0,Средний,2025-12-03
4dT0j,43,1,1.0,Евроремонт,2025-12-03
3HVlG,43,2,1.0,Средний,2025-12-03
4egMI,6,3,1.0,,2025-12-03
40GqM,60,2,1.0,Средний,2025-12-03
4dtAw,34,1,1.0,Авторский проект,2025-12-03
4dtl2,33,1,1.0,Средний,2025-12-03
42qRj,56,2,0.0,Средний,2025-12-03
4efUX,78,3,1.0,Средний,2025-12-03
4dt0P,42,1,1.0,Авторский проект,2025-12-03
47wR1,70,3,1.0,Средний,2025-12-03
4dsIJ,86,3,1.0,Евроремонт,2025-12-03
4dsF7,33,1,1.0,Средний,2025-12-03
4aVgn,1,2,0.0,Средний,2025-12-03
3LFrm,60,2,1.0,Средний,2025-12-03
38zzs,153,4,1.0,Евроремонт,2025-12-03
49vDB,80,3,1.0,,2025-12-03
444E6,80,3,1.0,Евроремонт,2025-12-03
3Od2G,75,3,1.0,Авторский проект,2025-12-03
3j8im,112,4,1.0,Евроремонт,2025-12-03
48GzG,32.87,1,1.0,Средний,2025-12-03
4ee1P,62,2,1.0,,2025-12-02
4eesA,66,2,0.0,,2025-12-02
4eeDG,67,3,1.0,Средний,2025-12-02
4ebUe,57,2,1.0,Евроремонт,2025-12-02
44FHX,51,2,1.0,Евроремонт,2025-12-02
4ecQC,68,3,1.0,Средний,2025-12-02
4d1ij,58,2,1.0,Евроремонт,2025-12-02
4ebMs,42,1,1.0,,2025-12-02
4dpeO,50,2,1.0,Евроремонт,2025-12-02
4dp57,55,2,0.0,Средний,2025-12-02
4ebGd,42,1,0.0,Авторский проект,2025-12-02
4eb57,38,1,1.0,Евроремонт,2025-12-02
4cwrX,70,2,1.0,Средний,2025-12-01
4eaMS,48,2,1.0,Евроремонт,2025-12-01
42IbB,110,4,1.0,Авторский проект,2025-12-01
4eaLx,95,2,1.0,Евроремонт,2025-12-01
4eaKy,41,1,1.0,Средний,2025-12-01
4eaGg,65,2,1.0,Евроремонт,2025-12-01
49u1V,60,3,1.0,Евроремонт,2025-12-01
4e8Up,30,1,1.0,Средний,2025-12-01
4dJQS,48,2,1.0,Авторский проект,2025-12-01
4dltL,50,2,1.0,Авторский проект,2025-12-01
4ceRe,60,2,1.0,Средний,2025-12-01
4e7P2,64,2,1.0,Евроремонт,2025-12-01
3Lxq8,60,1,0.0,Средний,2025-11-30
4dIIk,42,1,1.0,Авторский проект,2025-11-30
4e78T,65,2,1.0,Евроремонт,2025-11-30
4e6Ou,56,2,1.0,Евроремонт,2025-11-30
4djZa,45,2,1.0,Евроремонт,2025-11-30
4e6eW,56,3,1.0,Авторский проект,2025-11-30
4e65k,18,1,1.0,Средний,2025-11-30
4e69I,16,3,1.0,,2025-11-30
4djoo,80,3,1.0,Евроремонт,2025-11-30
4amL0,67,3,1.0,Евроремонт,2025-11-30
44I76,120,5,1.0,Авторский проект,2025-11-30
3I3ly,100,3,1.0,Евроремонт,2025-11-30
3YzP6,1,1,1.0,,2025-11-30
48EhF,80,3,1.0,Евроремонт,2025-11-30
4e4Au,56,2,1.0,Авторский проект,2025-11-30
4e4wX,43,1,1.0,Евроремонт,2025-11-30
3S2ap,71,3,0.0,Средний,2025-11-30
4dhHS,60,2,1.0,Евроремонт,2025-11-29
4e4ku,45,1,1.0,Евроремонт,2025-11-29
40sUs,38,2,0.0,,2025-11-29
374GJ,78,3,1.0,Евроремонт,2025-11-29
4e3Nk,40,2,1.0,Евроремонт,2025-11-29
4dF0K,50,2,1.0,Авторский проект,2025-11-29
4dEUE,48,2,1.0,,2025-11-29
3Xe44,55,2,1.0,Евроремонт,2025-11-29
3SNdJ,44,2,1.0,Средний,2025-11-29
4e3g0,60,2,1.0,Евроремонт,2025-11-29
4dEC6,40,1,1.0,Авторский проект,2025-11-29
4415f,85,4,1.0,Евроремонт,2025-11-29
