card_id,area,number_rooms,furniture,condition,date
4cWaj,70,2,1,,2025-12-04
3UxV0,90,4,1,Авторский проект,2025-12-03
44Q99,55,2,1,Евроремонт,2025-12-05
3ILe4,57,2,1,Авторский проект,2025-12-05
4dAVP,35,2,1,Авторский проект,2025-12-05
4dAWc,50,2,1,,2025-12-05
48S5Y,98,3,1,Евроремонт,2025-12-05
3a9MN,70,2,1,Евроремонт,2025-12-05
4dATe,105,3,1,Евроремонт,2025-12-05
4eo82,150,4,1,,2025-12-05
4dASP,58,2,1,,2025-12-05
4dASF,85,3,1,Евроремонт,2025-12-05
44oVA,40,1,1,,2025-12-05
4c8Sj,250,3,1,Авторский проект,2025-12-03
4eiVg,100,2,1,Евроремонт,2025-12-04
3J8gJ,20,1,1,Евроремонт,2025-12-02
44hID,100,3,1,Евроремонт,2025-12-05
3aNE3,58,2,1,Евроремонт,2025-12-05
4dASA,73,2,1,Евроремонт,2025-12-05
48r1e,52,2,1,Евроремонт,2025-12-05
4dARL,120,4,1,Евроремонт,2025-12-05
4dd0A,50,1,1,Евроремонт,2025-12-05
3375z,68,2,1,Авторский проект,2025-12-05
3tqtX,65,2,1,Авторский проект,2025-12-05
2CQS9,60,2,1,Евроремонт,2025-12-05
3uqbm,82,2,1,Авторский проект,2025-12-05
4b7OJ,80,3,1,,2025-12-04
4bNBL,45,1,1,Средний,2025-12-04
4cYyt,66,2,1,Авторский проект,2025-12-04
3fMZQ,83,3,1,Евроремонт,2025-12-05
4dAP9,52,2,1,,2025-12-05
2Y5gW,130,3,1,Авторский проект,2025-12-05
4dZo7,70,3,1,Евроремонт,2025-12-05
4enXR,85,2,1,Евроремонт,2025-12-05
3ao1K,70,2,1,Авторский проект,2025-12-05
4e9yF,48,1,1,Евроремонт,2025-12-05
4dcRx,180,4,1,Авторский проект,2025-12-05
4enVb,75,3,1,Средний,2025-12-05
4enWa,45,2,1,Евроремонт,2025-12-05
4e9yF,48,1,1,Евроремонт,2025-12-05
3ZVTZ,56,2,1,Авторский проект,2025-12-04
46Ve3,270,5,1,Авторский проект,2025-12-05
4enTJ,42,2,1,Евроремонт,2025-12-05
32ssr,90,3,1,Авторский проект,2025-12-05
3H0WP,74,3,1,Евроремонт,2025-12-05
3Vn8N,60,2,1,Евроремонт,2025-12-05
34eFj,80,2,1,Авторский проект,2025-12-05
2PZSu,170,6,1,Евроремонт,2025-12-05
3aj58,65,2,1,Евроремонт,2025-12-05
44vYu,90,3,1,,2025-12-05
44oQ3,85,3,1,,2025-12-05
2IwsG,205,4,1,Евроремонт,2025-12-05
3FSa8,89,3,1,Евроремонт,2025-12-02
4ef0v,140,3,1,Авторский проект,2025-12-04
4cb05,120,3,1,Евроремонт,2025-12-05
3skku,73,3,1,Евроремонт,2025-12-05
3aFN4,60,2,1,,2025-12-05
4dZdU,75,3,1,Евроремонт,2025-12-05
3smd9,85,2,1,Евроремонт,2025-12-05
4enO2,90,3,1,Евроремонт,2025-12-05
4dAzA,85,3,1,Евроремонт,2025-12-05
4enIG,57,2,1,Средний,2025-12-05
22r02,65,2,1,,2025-12-05
2Z0Kk,180,3,1,,2025-12-05
1Rou3,150,3,1,,2025-12-05
33wbU,120,3,1,Авторский проект,2025-12-04
4e6KB,100,4,1,Евроремонт,2025-12-03
4ebmE,122,2,1,Евроремонт,2025-12-01
1GoKZ,65,2,1,Авторский проект,2025-12-05
1DBsC,120,3,1,Авторский проект,2025-12-05
3ALHP,160,6,1,Евроремонт,2025-12-05
1Fr6M,215,4,1,Евроремонт,2025-12-05
1RorB,180,3,1,,2025-12-05
42Nxw,70,3,1,Евроремонт,2025-12-05
4dZ8T,80,3,1,Евроремонт,2025-12-05
45iG2,105,3,1,Евроремонт,2025-12-05
4dZ7t,100,4,1,Евроремонт,2025-12-05
43mVL,39,1,1,Евроремонт,2025-12-05
4ejrG,105,3,1,Авторский проект,2025-12-04
4dooj,82.43,3,1,Евроремонт,2025-12-03
4enm2,40,2,1,Авторский проект,2025-12-05
4dZ6q,130,3,1,Евроремонт,2025-12-05
4enF7,42,1,1,Евроремонт,2025-12-05
3Y42s,55,2,1,Евроремонт,2025-12-05
4cfPd,83,3,1,Евроремонт,2025-12-05
3wZe6,62,2,1,Евроремонт,2025-12-05
3NYV9,105,3,1,Авторский проект,2025-12-05
46Ve3,270,5,1,Авторский проект,2025-12-05
3Hn1k,105,3,1,Авторский проект,2025-12-05
42Wgf,100,3,1,Авторский проект,2025-12-05
3eBhj,140,4,1,Авторский проект,2025-12-05
3WLCX,100,4,1,Авторский проект,2025-12-03
4dRDO,75,3,1,Средний,2025-12-05
3q63t,106,3,1,Авторский проект,2025-12-03
3Xmue,55,2,1,Евроремонт,2025-12-05
4d2d7,80,3,1,Евроремонт,2025-12-05
3Zm4T,52,2,1,Евроремонт,2025-12-05
3Y40v,55,2,1,Евроремонт,2025-12-05
44Q99,55,2,1,Евроремонт,2025-12-05
4enzh,90,3,1,Авторский проект,2025-12-05
3Suyh,75,3,1,Евроремонт,2025-12-05
4dYXq,28,1,1,Евроремонт,2025-12-05
4dctq,56,2,1,Авторский проект,2025-12-05
4duCq,90,3,1,Авторский проект,2025-12-05
495dv,63,3,1,Евроремонт,2025-12-05
4d7GK,180,5,1,Евроремонт,2025-12-05
4emlr,280,10,1,Евроремонт,2025-12-05
4brlh,67,3,1,Авторский проект,2025-12-05
4dycM,35,1,1,Авторский проект,2025-12-05
4dxel,80,3,1,Авторский проект,2025-12-05
4duuf,62,2,1,Евроремонт,2025-12-05
4dxGr,90,3,1,Авторский проект,2025-12-05
3pxFs,30,1,1,Евроремонт,2025-12-05
4dy70,65,2,1,Евроремонт,2025-12-05
4enwT,30,1,1,Евроремонт,2025-12-05
49Gsr,55,2,1,,2025-12-05
4bXzh,100,4,1,Авторский проект,2025-12-05
3H1it,110,3,1,Авторский проект,2025-12-05
4ek7z,18,1,1,Евроремонт,2025-12-04
4d4zx,90,2,1,Авторский проект,2025-12-03
4dcoE,48,1,1,Евроремонт,2025-12-05
4aBzG,50,1,1,Евроремонт,2025-12-05
1J2Bf,65,2,1,,2025-12-05
439QG,120,3,1,Авторский проект,2025-12-05
49D2f,65,3,1,Евроремонт,2025-12-05
4dcnp,60,2,1,Евроремонт,2025-12-05
4dcne,100,4,1,Евроремонт,2025-12-05
3TcoJ,50,2,1,Евроремонт,2025-12-05
4ensa,70,2,1,Авторский проект,2025-12-05
4dRDO,75,3,1,Средний,2025-12-05
4dVX6,40,1,1,Авторский проект,2025-12-01
4efY9,94,3,1,Евроремонт,2025-12-03
4csQV,38,1,0,Средний,2025-12-04
33kop,80,3,1,Евроремонт,2025-12-05
3LzND,57,2,1,Евроремонт,2025-12-05
38vIX,75,3,1,,2025-12-05
4dYPN,30,1,1,Авторский проект,2025-12-05
363OA,90,3,1,Евроремонт,2025-12-05
1EzMg,75,2,1,,2025-12-05
2KWBT,115,4,1,Авторский проект,2025-12-05
363YC,250,4,1,Авторский проект,2025-12-05
3yGYI,105,3,1,Евроремонт,2025-12-05
25JRy,90,3,1,Евроремонт,2025-12-05
4cO9L,75,3,1,Евроремонт,2025-12-04
4bH6L,180,5,1,Евроремонт,2025-12-03
