title,url,price_raw,price_value,price_currency,location_text,posted_date_raw,posted_date,time_raw,card_id,district_id,district_name
,https://www.olx.uz/d/obyavlenie/ogil-bolalar-uchun-kvartira-ID4alZP.html,,,,,,,,4alZP,20,almazar
Oʻgʻil bolalar uchun kvartira,https://www.olx.uz/d/obyavlenie/ogil-bolalar-uchun-kvartira-ID4alZP.html,900 000 сум Договорная,900000.0,сум,,,,,4alZP,20,almazar
,https://www.olx.uz/d/obyavlenie/zhk-olmazor-city-3-5-11-86m2-novostroyka-srochno-arenda-ID4e3Aj.html,,,,,,,,4e3Aj,20,almazar
"ЖК Olmazor City, 3/5/11 (86м2) Новостройка Срочно Аренда",https://www.olx.uz/d/obyavlenie/zhk-olmazor-city-3-5-11-86m2-novostroyka-srochno-arenda-ID4e3Aj.html,650 у.е.,650.0,у.е,,,,,4e3Aj,20,almazar
,https://www.olx.uz/d/obyavlenie/oylik-kvartira-oylik-kvartira-ID3vnYm.html,,,,,,,,3vnYm,20,almazar
Oylik kvartira. Ойлик квартира.,https://www.olx.uz/d/obyavlenie/oylik-kvartira-oylik-kvartira-ID3vnYm.html,650 000 сум,650000.0,сум,,,,,3vnYm,20,almazar
,https://www.olx.uz/d/obyavlenie/talaba-qizlarga-ijaraga-beriladi-ID48xfZ.html,,,,,,,,48xfZ,20,almazar
Talaba qizlarga ijaraga beriladi,https://www.olx.uz/d/obyavlenie/talaba-qizlarga-ijaraga-beriladi-ID48xfZ.html,100 у.е.,100.0,у.е,,,,,48xfZ,20,almazar
,https://www.olx.uz/d/obyavlenie/arenda-kvartira-kora-kamish-2-1-2-hona-ID4aMlo.html,,,,,,,,4aMlo,20,almazar
Аренда Квартира Кора камиш 2/1 2 хона,https://www.olx.uz/d/obyavlenie/arenda-kvartira-kora-kamish-2-1-2-hona-ID4aMlo.html,500 у.е.,500.0,у.е,,,,,4aMlo,20,almazar
,https://www.olx.uz/d/obyavlenie/zh-k-almazar-city-3-honali-elitnye-kvartiry-v-tsentre-goroda-ID3XUMM.html,,,,,,,,3XUMM,20,almazar
Ж/К Almazar City 3.хонали Элитные квартиры в центре города,https://www.olx.uz/d/obyavlenie/zh-k-almazar-city-3-honali-elitnye-kvartiry-v-tsentre-goroda-ID3XUMM.html,600 у.е.,600.0,у.е,,,,,3XUMM,20,almazar
,https://www.olx.uz/d/obyavlenie/sdaetsya-novaya-kv-zhk-almazar-siti-2-kom-7-9-ro-n-almazarskiy-ID4eNnd.html,,,,,,,,4eNnd,20,almazar
Сдаётся Новая кв ЖК Алмазар Сити 2-ком/7/9 ро-н Алмазарский,https://www.olx.uz/d/obyavlenie/sdaetsya-novaya-kv-zhk-almazar-siti-2-kom-7-9-ro-n-almazarskiy-ID4eNnd.html,500 у.е.,500.0,у.е,,,,,4eNnd,20,almazar
,https://www.olx.uz/d/obyavlenie/3017-sdam-2-komn-2-iz-9-yangi-almazar-almazar-siti-ID3teO7.html,,,,,,,,3teO7,20,almazar
(3017) Сдам 2-комн. 2 из 9 Янги Алмазар (Алмазар сити),https://www.olx.uz/d/obyavlenie/3017-sdam-2-komn-2-iz-9-yangi-almazar-almazar-siti-ID3teO7.html,600 у.е.,600.0,у.е,,,,,3teO7,20,almazar
,https://www.olx.uz/d/obyavlenie/335-sdam-2-komn-8-iz-9-guncha-metro-tinchlik-ID2Tb6B.html,,,,,,,,2Tb6B,20,almazar
[335] Сдам 2-комн. 8 из 9 Гунча (метро Тинчлик),https://www.olx.uz/d/obyavlenie/335-sdam-2-komn-8-iz-9-guncha-metro-tinchlik-ID2Tb6B.html,750 у.е. Договорная,750.0,у.е,,,,,2Tb6B,20,almazar
,https://www.olx.uz/d/obyavlenie/sebzorda-2-xonali-uyimni-ijaraga-beraman-640-ID4faVQ.html,,,,,,,,4faVQ,20,almazar
Sebzorda 2 xonali uyimni ijaraga beraman 640*,https://www.olx.uz/d/obyavlenie/sebzorda-2-xonali-uyimni-ijaraga-beraman-640-ID4faVQ.html,500 у.е.,500.0,у.е,,,,,4faVQ,20,almazar
,https://www.olx.uz/d/obyavlenie/olmazor-arendu-na-semyu-i-studentov-ID4fahM.html,,,,,,,,4fahM,20,almazar
Олмазор аренду на семью и студентов,https://www.olx.uz/d/obyavlenie/olmazor-arendu-na-semyu-i-studentov-ID4fahM.html,300 у.е.,300.0,у.е,,,,,4fahM,20,almazar
,https://www.olx.uz/d/obyavlenie/uzoq-muddatga-faqat-oilaga-ijara-ID4fbo4.html,,,,,,,,4fbo4,20,almazar
