title,url,price_raw,price_value,price_currency,location_text,posted_date_raw,posted_date,time_raw,card_id,district_id,district_name
,https://www.olx.uz/d/obyavlenie/arenda-kvartira-iyk-ota-2024-ID3RP8h.html,,,,,,,,3RP8h,18,bektemir
Arenda Kvartira Iyk Ota 2024,https://www.olx.uz/d/obyavlenie/arenda-kvartira-iyk-ota-2024-ID3RP8h.html,150 у.е.,150.0,у.е,,,,,3RP8h,18,bektemir
,https://www.olx.uz/d/obyavlenie/kvartira-ijarasi-novostroyka-dom-2-xonali-57-kvadrat-yangi-remont-ID3RjTc.html,,,,,,,,3RjTc,18,bektemir
"Kvartira ijarasi Novostroyka do’m, 2 xonali, 57 kvadrat. Yangi remont",https://www.olx.uz/d/obyavlenie/kvartira-ijarasi-novostroyka-dom-2-xonali-57-kvadrat-yangi-remont-ID3RjTc.html,480 у.е. Договорная,480.0,у.е,,,,,3RjTc,18,bektemir
,https://www.olx.uz/d/obyavlenie/sdaetsya-v-arendu-2-h-komnatnaya-kvartira-musaffo-maskan-bektemir-ID4acfv.html,,,,,,,,4acfv,18,bektemir
"Сдаётся в аренду 2-х комнатная квартира Мусаффо маскан Бектемир,",https://www.olx.uz/d/obyavlenie/sdaetsya-v-arendu-2-h-komnatnaya-kvartira-musaffo-maskan-bektemir-ID4acfv.html,400 у.е.,400.0,у.е,,,,,4acfv,18,bektemir
,https://www.olx.uz/d/obyavlenie/1-xonali-uy-food-city-bozor-ID4clgb.html,,,,,,,,4clgb,18,bektemir
1 xonali uy food city bozor,https://www.olx.uz/d/obyavlenie/1-xonali-uy-food-city-bozor-ID4clgb.html,200 у.е.,200.0,у.е,,,,,4clgb,18,bektemir
,https://www.olx.uz/d/obyavlenie/arenda-kvartira-hovli-1-xona-beriladi-ID48url.html,,,,,,,,48url,18,bektemir
Arenda Kvartira Hovli 1 xona beriladi,https://www.olx.uz/d/obyavlenie/arenda-kvartira-hovli-1-xona-beriladi-ID48url.html,100 у.е. Договорная,100.0,у.е,,,,,48url,18,bektemir
,https://www.olx.uz/d/obyavlenie/qizlarga-bezmakler-sheriklikka-kv-ID41Elp.html,,,,,,,,41Elp,18,bektemir
Qizlarga Bezmakler sheriklikka kv,https://www.olx.uz/d/obyavlenie/qizlarga-bezmakler-sheriklikka-kv-ID41Elp.html,550 000 сум,550000.0,сум,,,,,41Elp,18,bektemir
,https://www.olx.uz/d/obyavlenie/ijaraga-yangi-domlardan-bardankul-ID4faDb.html,,,,,,,,4faDb,18,bektemir
Ijaraga yangi domlardan Bardankul,https://www.olx.uz/d/obyavlenie/ijaraga-yangi-domlardan-bardankul-ID4faDb.html,750 000 сум,750000.0,сум,,,,,4faDb,18,bektemir
,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-bektemir-fud-siti-3-3-6-ID4fb9W.html,,,,,,,,4fb9W,18,bektemir
Сдается квартира | Бектемир | ФУД Сити | 3/3/6,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-bektemir-fud-siti-3-3-6-ID4fb9W.html,480 у.е.,480.0,у.е,,,,,4fb9W,18,bektemir
,https://www.olx.uz/d/obyavlenie/bektemirskiy-or-r-vodnik-na-protiv-korzinka-3-9-9-ID4f5Ql.html,,,,,,,,4f5Ql,18,bektemir
Бектемирский ор-р Водник На против Корзинка 3/9/9,https://www.olx.uz/d/obyavlenie/bektemirskiy-or-r-vodnik-na-protiv-korzinka-3-9-9-ID4f5Ql.html,400 у.е.,400.0,у.е,,,,,4f5Ql,18,bektemir
,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-bektemir-zhk-musaffo-maskan-3-10-16-ID4fb6D.html,,,,,,,,4fb6D,18,bektemir
