title,url,price_raw,price_value,price_currency,location_text,posted_date_raw,posted_date,time_raw,card_id,district_id,district_name
ТОП,https://www.olx.uz/d/obyavlenie/hamza-sdaetsya-novaya-4-h-komnatnaya-kvartira-v-tsentre-goroda-ID3sI1M.html,,,,,,,,3sI1M,23,chilonzor
Хамза! Сдается новая 4-х комнатная квартира в центре города!,https://www.olx.uz/d/obyavlenie/hamza-sdaetsya-novaya-4-h-komnatnaya-kvartira-v-tsentre-goroda-ID3sI1M.html,1 000 у.е. Договорная,1000.0,у.е,,,,,3sI1M,23,chilonzor
ТОП,https://www.olx.uz/d/obyavlenie/sdam-vartiru-na-chilanzare-ID4d47B.html,,,,,,,,4d47B,23,chilonzor
Сдам вартиру на Чиланзаре,https://www.olx.uz/d/obyavlenie/sdam-vartiru-na-chilanzare-ID4d47B.html,350 у.е.,350.0,у.е,,,,,4d47B,23,chilonzor
ТОП,https://www.olx.uz/d/obyavlenie/chilanzarskiy-rayon-16-kvartil-3-komnatnaya-kvartira-arenda-ID3Y469.html,,,,,,,,3Y469,23,chilonzor
Чиланзарский район 16- квартиль 3 комнатная квартира аренда,https://www.olx.uz/d/obyavlenie/chilanzarskiy-rayon-16-kvartil-3-komnatnaya-kvartira-arenda-ID3Y469.html,600 у.е.,600.0,у.е,,,,,3Y469,23,chilonzor
,https://www.olx.uz/d/obyavlenie/chilonzor-tumani-metro-novza-2-xonali-uy-ijarga-beriladi-1-ID46xP5.html,,,,,,,,46xP5,23,chilonzor
"CHilonzor tumani ""Metro Novza"" 2 xonali uy ijarga beriladi 1*",https://www.olx.uz/d/obyavlenie/chilonzor-tumani-metro-novza-2-xonali-uy-ijarga-beriladi-1-ID46xP5.html,400 у.е.,400.0,у.е,,,,,46xP5,23,chilonzor
,https://www.olx.uz/d/obyavlenie/chilanzar-bez-depozita-metro-novza-3h-komnatnaya-3-6-9-1-ID46wgv.html,,,,,,,,46wgv,23,chilonzor
Чиланзар/БЕЗ ДЕПОЗИТА/метро НОВЗА/3х комнатная 3/6/9 1*,https://www.olx.uz/d/obyavlenie/chilanzar-bez-depozita-metro-novza-3h-komnatnaya-3-6-9-1-ID46wgv.html,500 у.е.,500.0,у.е,,,,,46wgv,23,chilonzor
,https://www.olx.uz/d/obyavlenie/arenda-chilanzar-3-odna-komnatnaya-ID4dATC.html,,,,,,,,4dATC,23,chilonzor
Аренда чиланзар 3. Одна комнатная,https://www.olx.uz/d/obyavlenie/arenda-chilanzar-3-odna-komnatnaya-ID4dATC.html,450 у.е.,450.0,у.е,,,,,4dATC,23,chilonzor
,https://www.olx.uz/d/obyavlenie/arenda-chilanzar-ts-kvartal-2-3-5-ID4dd2a.html,,,,,,,,4dd2a,23,chilonzor
Аренда Чиланзар Ц квартал 2/3/5,https://www.olx.uz/d/obyavlenie/arenda-chilanzar-ts-kvartal-2-3-5-ID4dd2a.html,600 у.е.,600.0,у.е,,,,,4dd2a,23,chilonzor
,https://www.olx.uz/d/obyavlenie/arenda-kvartiry-chilanzar-3-ID4dASx.html,,,,,,,,4dASx,23,chilonzor
Аренда квартиры Чиланзар 3,https://www.olx.uz/d/obyavlenie/arenda-kvartiry-chilanzar-3-ID4dASx.html,450 у.е.,450.0,у.е,,,,,4dASx,23,chilonzor
,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-na-metro-novza-ID4a3Yr.html,,,,,,,,4a3Yr,23,chilonzor
Сдаётся Квартира на Метро Новза,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-na-metro-novza-ID4a3Yr.html,350 у.е.,350.0,у.е,,,,,4a3Yr,23,chilonzor
,https://www.olx.uz/d/obyavlenie/arenda-chilanzar-10-kv-2-2-6-novostroyka-ID4dcZ2.html,,,,,,,,4dcZ2,23,chilonzor
Аренда Чиланзар 10 кв. 2/2/6 Новостройка,https://www.olx.uz/d/obyavlenie/arenda-chilanzar-10-kv-2-2-6-novostroyka-ID4dcZ2.html,650 у.е.,650.0,у.е,,,,,4dcZ2,23,chilonzor
,https://www.olx.uz/d/obyavlenie/srochno-sdaetsya-1-komnatnaya-parus-chilanzar-6-ID450M0.html,,,,,,,,450M0,23,chilonzor
Срочно сдается 1 комнатная Парус Чиланзар 6,https://www.olx.uz/d/obyavlenie/srochno-sdaetsya-1-komnatnaya-parus-chilanzar-6-ID450M0.html,350 у.е.,350.0,у.е,,,,,450M0,23,chilonzor
,https://www.olx.uz/d/obyavlenie/novza-srochno-sdaetsya-1-komnatnaya-ID464MH.html,,,,,,,,464MH,23,chilonzor
Новза срочно сдается 1 комнатная,https://www.olx.uz/d/obyavlenie/novza-srochno-sdaetsya-1-komnatnaya-ID464MH.html,370 у.е.,370.0,у.е,,,,,464MH,23,chilonzor
,https://www.olx.uz/d/obyavlenie/batalon-srochno-sdaetsya-2-komnatnaya-chilanzar-19-ID46qo3.html,,,,,,,,46qo3,23,chilonzor
Батальон Срочно сдается 2 комнатная Чиланзар 19,https://www.olx.uz/d/obyavlenie/batalon-srochno-sdaetsya-2-komnatnaya-chilanzar-19-ID46qo3.html,400 у.е.,400.0,у.е,,,,,46qo3,23,chilonzor
ТОП,https://www.olx.uz/d/obyavlenie/chilonzor-17-kv-novostroyka-hamma-sharoiti-bor-2-xona-ID42vvh.html,,,,,,,,42vvh,23,chilonzor
Chilonzor 17 KV novostroyka hamma sharoiti bor 2 xona,https://www.olx.uz/d/obyavlenie/chilonzor-17-kv-novostroyka-hamma-sharoiti-bor-2-xona-ID42vvh.html,500 у.е.,500.0,у.е,,,,,42vvh,23,chilonzor
ТОП,https://www.olx.uz/d/obyavlenie/chilanzar-10-arenda-svoya-3-3-4-havas-ipoteka-bank-ID4e6A2.html,,,,,,,,4e6A2,23,chilonzor
Чиланзар 10 Аренда своя 3/3/4 Havas. Ipoteka bank,https://www.olx.uz/d/obyavlenie/chilanzar-10-arenda-svoya-3-3-4-havas-ipoteka-bank-ID4e6A2.html,600 у.е.,600.0,у.е,,,,,4e6A2,23,chilonzor
ТОП,https://www.olx.uz/d/obyavlenie/chilonzor-13-3-1-5-65-m-izharaga-beriladi-elonni-uking-ID4d6Xo.html,,,,,,,,4d6Xo,23,chilonzor
Чилонзор 13. 3/1/5 65 м² ижарага берилади  элонни укинг,https://www.olx.uz/d/obyavlenie/chilonzor-13-3-1-5-65-m-izharaga-beriladi-elonni-uking-ID4d6Xo.html,350 у.е.,350.0,у.е,,,,,4d6Xo,23,chilonzor
,https://www.olx.uz/d/obyavlenie/srochno-sdaetsya-1-komnatnaya-katartal-optovyy-5-kvartal-ID45oai.html,,,,,,,,45oai,23,chilonzor
Срочно сдается 1 комнатная Катартал оптовый 5 квартал,https://www.olx.uz/d/obyavlenie/srochno-sdaetsya-1-komnatnaya-katartal-optovyy-5-kvartal-ID45oai.html,400 у.е.,400.0,у.е,,,,,45oai,23,chilonzor
,https://www.olx.uz/d/obyavlenie/novza-srochno-sdaetsya-1-komnatnaya-5-kvartal-ID45ZJQ.html,,,,,,,,45ZJQ,23,chilonzor
Новза срочно сдается 1 комнатная 5 квартал,https://www.olx.uz/d/obyavlenie/novza-srochno-sdaetsya-1-komnatnaya-5-kvartal-ID45ZJQ.html,400 у.е.,400.0,у.е,,,,,45ZJQ,23,chilonzor
,https://www.olx.uz/d/obyavlenie/novza-srochno-sdaetsya-3-komnatnaya-ID45of1.html,,,,,,,,45of1,23,chilonzor
Новза срочно сдается 3 комнатная,https://www.olx.uz/d/obyavlenie/novza-srochno-sdaetsya-3-komnatnaya-ID45of1.html,500 у.е.,500.0,у.е,,,,,45of1,23,chilonzor
,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-metro-novza-ID4aQfH.html,,,,,,,,4aQfH,23,chilonzor
Сдаётся Квартира Метро Новза,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-metro-novza-ID4aQfH.html,400 у.е.,400.0,у.е,,,,,4aQfH,23,chilonzor
,https://www.olx.uz/d/obyavlenie/novza-sport-tovary-srochno-sdaetsya-1-komnatnaya-ID464Nl.html,,,,,,,,464Nl,23,chilonzor
Новза спорт товары срочно сдается 1 Комнатная,https://www.olx.uz/d/obyavlenie/novza-sport-tovary-srochno-sdaetsya-1-komnatnaya-ID464Nl.html,350 у.е.,350.0,у.е,,,,,464Nl,23,chilonzor
,https://www.olx.uz/d/obyavlenie/pionerskaya-chil-1-srochno-sdaetsya-2-komnatnaya-ID46bdP.html,,,,,,,,46bdP,23,chilonzor
Пионерская Чил 1 Срочно сдается 2 комнатная,https://www.olx.uz/d/obyavlenie/pionerskaya-chil-1-srochno-sdaetsya-2-komnatnaya-ID46bdP.html,400 у.е.,400.0,у.е,,,,,46bdP,23,chilonzor
,https://www.olx.uz/d/obyavlenie/chilanzar-5-srochno-sdaetsya-1-kom-novza-ID450KA.html,,,,,,,,450KA,23,chilonzor
Чиланзар 5 Срочно сдается 1 ком Новза,https://www.olx.uz/d/obyavlenie/chilanzar-5-srochno-sdaetsya-1-kom-novza-ID450KA.html,400 у.е.,400.0,у.е,,,,,450KA,23,chilonzor
,https://www.olx.uz/d/obyavlenie/sdayu-kvartiru-v-arendu-ID4eo3m.html,,,,,,,,4eo3m,23,chilonzor
Сдаю квартиру в аренду,https://www.olx.uz/d/obyavlenie/sdayu-kvartiru-v-arendu-ID4eo3m.html,700 у.е.,700.0,у.е,,,,,4eo3m,23,chilonzor
,https://www.olx.uz/d/obyavlenie/arenda-kvartira-metro-novza-5-kvartil-zhk-elit-ID4dcXj.html,,,,,,,,4dcXj,23,chilonzor
Аренда квартира метро НОВЗА 5-квартил ЖК Елит,https://www.olx.uz/d/obyavlenie/arenda-kvartira-metro-novza-5-kvartil-zhk-elit-ID4dcXj.html,1 000 у.е.,1000.0,у.е,,,,,4dcXj,23,chilonzor
,https://www.olx.uz/d/obyavlenie/arenda-kvartira-chilonzor-ID4dANL.html,,,,,,,,4dANL,23,chilonzor
Аренда квартира Чилонзор,https://www.olx.uz/d/obyavlenie/arenda-kvartira-chilonzor-ID4dANL.html,500 у.е.,500.0,у.е,,,,,4dANL,23,chilonzor
ТОП,https://www.olx.uz/d/obyavlenie/srochno-chilonzor-3-komnata-arenda-ID3VHdb.html,,,,,,,,3VHdb,23,chilonzor
СРОЧНО Чилонзор 3 комната Аренда,https://www.olx.uz/d/obyavlenie/srochno-chilonzor-3-komnata-arenda-ID3VHdb.html,500 у.е.,500.0,у.е,,,,,3VHdb,23,chilonzor
ТОП,https://www.olx.uz/d/obyavlenie/chilanzar-6-kvartil-zhk-novostroyka-2-peredel3-komnatnaya-kvartira-ID3ZmsS.html,,,,,,,,3ZmsS,23,chilonzor
Чиланзар 6- квартиль  жк новостройка 2 передел3 комнатная квартира,https://www.olx.uz/d/obyavlenie/chilanzar-6-kvartil-zhk-novostroyka-2-peredel3-komnatnaya-kvartira-ID3ZmsS.html,600 у.е. Договорная,600.0,у.е,,,,,3ZmsS,23,chilonzor
ТОП,https://www.olx.uz/d/obyavlenie/sdaetsya-v-arendu-1-1-4-metro-novza-ID4efwK.html,,,,,,,,4efwK,23,chilonzor
Сдается в Аренду 1/1/4 метро НОВЗА,https://www.olx.uz/d/obyavlenie/sdaetsya-v-arendu-1-1-4-metro-novza-ID4efwK.html,350 у.е.,350.0,у.е,,,,,4efwK,23,chilonzor
,https://www.olx.uz/d/obyavlenie/arenda-chilanzar-5-novostroyka-dvuh-komnatnaya-ID4dcVr.html,,,,,,,,4dcVr,23,chilonzor
Аренда чиланзар 5. Новостройка. Двух комнатная,https://www.olx.uz/d/obyavlenie/arenda-chilanzar-5-novostroyka-dvuh-komnatnaya-ID4dcVr.html,700 у.е.,700.0,у.е,,,,,4dcVr,23,chilonzor
,https://www.olx.uz/d/obyavlenie/sdaetsya-chilanzar-ul-mukimiy-1v2-2-etazh-ID4dZph.html,,,,,,,,4dZph,23,chilonzor
Сдаётся Чиланзар ул. Мукимий 1в2 2 этаж.,https://www.olx.uz/d/obyavlenie/sdaetsya-chilanzar-ul-mukimiy-1v2-2-etazh-ID4dZph.html,500 у.е.,500.0,у.е,,,,,4dZph,23,chilonzor
,https://www.olx.uz/d/obyavlenie/chilonzor-al-horazmiy-krugda-izharaga-kvartira-ID4enZQ.html,,,,,,,,4enZQ,23,chilonzor
Чилонзор Ал Хоразмий кругда ижарага квартира,https://www.olx.uz/d/obyavlenie/chilonzor-al-horazmiy-krugda-izharaga-kvartira-ID4enZQ.html,335 у.е.,335.0,у.е,,,,,4enZQ,23,chilonzor
,https://www.olx.uz/d/obyavlenie/sdaetsya-uyutnaya-kvartira-2h-3-5-chilanzarskiy-r-n-parus-ID4dAKH.html,,,,,,,,4dAKH,23,chilonzor
СДАЁТСЯ Уютная квартира 2х /3/5 Чиланзарский р-н Парус,https://www.olx.uz/d/obyavlenie/sdaetsya-uyutnaya-kvartira-2h-3-5-chilanzarskiy-r-n-parus-ID4dAKH.html,400 у.е. Договорная,400.0,у.е,,,,,4dAKH,23,chilonzor
,https://www.olx.uz/d/obyavlenie/sdaetsya-v-dolgosrochnuyu-arendu-2h-kom-2-etazh-4-etazhnyy-dom-metro-novza-ID4enZB.html,,,,,,,,4enZB,23,chilonzor
Сдаётся в долгосрочную аренду 2х ком 2 этаж 4 этажный дом. метро Новза,https://www.olx.uz/d/obyavlenie/sdaetsya-v-dolgosrochnuyu-arendu-2h-kom-2-etazh-4-etazhnyy-dom-metro-novza-ID4enZB.html,400 у.е.,400.0,у.е,,,,,4enZB,23,chilonzor
,https://www.olx.uz/d/obyavlenie/chilanzor-1-kv-3-1-4-700-ye-ID4dZlR.html,,,,,,,,4dZlR,23,chilonzor
Чиланзор 1 кв 3/1/4 700 ye,https://www.olx.uz/d/obyavlenie/chilanzor-1-kv-3-1-4-700-ye-ID4dZlR.html,700 у.е.,700.0,у.е,,,,,4dZlR,23,chilonzor
,https://www.olx.uz/d/obyavlenie/kvartira-arenda-bez-makler-kvartira-2h-ID4enXy.html,,,,,,,,4enXy,23,chilonzor
Kvartira arenda | Bez_makler | квартира 2х,https://www.olx.uz/d/obyavlenie/kvartira-arenda-bez-makler-kvartira-2h-ID4enXy.html,300 у.е.,300.0,у.е,,,,,4enXy,23,chilonzor
,https://www.olx.uz/d/obyavlenie/3h-komnatnaya-na-chilanzare-metro-novza-ID4enXn.html,,,,,,,,4enXn,23,chilonzor
3х комнатная на Чиланзаре . Метро Новза,https://www.olx.uz/d/obyavlenie/3h-komnatnaya-na-chilanzare-metro-novza-ID4enXn.html,700 у.е.,700.0,у.е,,,,,4enXn,23,chilonzor
,https://www.olx.uz/d/obyavlenie/arenda-srochno-ishlidigan-qizlarga-va-ayollarga-ID3ioCv.html,,,,,,,,3ioCv,23,chilonzor
Arenda СРОЧНО ishlidigan qizlarga va ayollarga,https://www.olx.uz/d/obyavlenie/arenda-srochno-ishlidigan-qizlarga-va-ayollarga-ID3ioCv.html,800 000 сум Договорная,800000.0,сум,,,,,3ioCv,23,chilonzor
,https://www.olx.uz/d/obyavlenie/arenda-novostroyka-zh-e-elit-chilanzar-5-kv-ID4dAGK.html,,,,,,,,4dAGK,23,chilonzor
Аренда новостройка Ж.Е Элит. Чиланзар 5 кв,https://www.olx.uz/d/obyavlenie/arenda-novostroyka-zh-e-elit-chilanzar-5-kv-ID4dAGK.html,750 у.е.,750.0,у.е,,,,,4dAGK,23,chilonzor
ТОП,https://www.olx.uz/d/obyavlenie/sdaetsya-svoya-dolgosrochno-zhk-nrg-park-uzoq-muddatga-ijaraga-beriladi-ID4cRaz.html,,,,,,,,4cRaz,23,chilonzor
Сдается Своя- Долгосрочно ЖК NRG Park| Uzoq Muddatga Ijaraga Beriladi,https://www.olx.uz/d/obyavlenie/sdaetsya-svoya-dolgosrochno-zhk-nrg-park-uzoq-muddatga-ijaraga-beriladi-ID4cRaz.html,750 у.е.,750.0,у.е,,,,,4cRaz,23,chilonzor
,https://www.olx.uz/d/obyavlenie/arenda-chilanzar-ts-2-1-4-ID4edrv.html,,,,,,,,4edrv,23,chilonzor
Аренда Чиланзар-Ц 2/1/4,https://www.olx.uz/d/obyavlenie/arenda-chilanzar-ts-2-1-4-ID4edrv.html,450 у.е. Договорная,450.0,у.е,,,,,4edrv,23,chilonzor
ТОП,https://www.olx.uz/d/obyavlenie/arenda-2h-komnatnaya-kvartira-ID3Ua0e.html,,,,,,,,3Ua0e,23,chilonzor
Аренда 2х комнатная квартира,https://www.olx.uz/d/obyavlenie/arenda-2h-komnatnaya-kvartira-ID3Ua0e.html,500 у.е. Договорная,500.0,у.е,,,,,3Ua0e,23,chilonzor
,https://www.olx.uz/d/obyavlenie/chilanzar-metro-novza-1-komnatnaya-kvartira-v-arendu-ID4enTT.html,,,,,,,,4enTT,23,chilonzor
"Чиланзар, метро Новза — 1-комнатная квартира в аренду",https://www.olx.uz/d/obyavlenie/chilanzar-metro-novza-1-komnatnaya-kvartira-v-arendu-ID4enTT.html,200 у.е.,200.0,у.е,,,,,4enTT,23,chilonzor
,https://www.olx.uz/d/obyavlenie/honadon-kvartiraga-beriladi-alo-holatda-ID3VWTg.html,,,,,,,,3VWTg,23,chilonzor
Хонадон Квартирага берилади ало холатда,https://www.olx.uz/d/obyavlenie/honadon-kvartiraga-beriladi-alo-holatda-ID3VWTg.html,650 у.е.,650.0,у.е,,,,,3VWTg,23,chilonzor
,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-v-arendu-v-shayhantahur-samarkand-darvoza-2-5-9-ID4dZhk.html,,,,,,,,4dZhk,23,chilonzor
Сдается квартира в аренду в Шайхантахур | Самарканд Дарвоза | 2/5/9,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-v-arendu-v-shayhantahur-samarkand-darvoza-2-5-9-ID4dZhk.html,500 у.е. Договорная,500.0,у.е,,,,,4dZhk,23,chilonzor
,https://www.olx.uz/d/obyavlenie/sdayu-arenda-kvartira-v-dumrobode-ID4enTg.html,,,,,,,,4enTg,23,chilonzor
Сдаю  аренда  Квартира  в  Думрободе,https://www.olx.uz/d/obyavlenie/sdayu-arenda-kvartira-v-dumrobode-ID4enTg.html,250 у.е.,250.0,у.е,,,,,4enTg,23,chilonzor
,https://www.olx.uz/d/obyavlenie/chilonzor-novza-metro-yonida-ID4enQ9.html,,,,,,,,4enQ9,23,chilonzor
