title,url,price_raw,price_value,price_currency,location_text,posted_date_raw,posted_date,time_raw,card_id,district_id,district_name
ТОП,https://www.olx.uz/d/obyavlenie/zhk-mirabad-avenue-novaya-2h-konatnaya-kvartira-avtorskiy-remontom-srochno-ID44NjR.html,,,,,,,,44NjR,13,mirabad
жк Mirabad avenue!Новая 2х конатная квартира!Авторский ремонтом!Срочно,https://www.olx.uz/d/obyavlenie/zhk-mirabad-avenue-novaya-2h-konatnaya-kvartira-avtorskiy-remontom-srochno-ID44NjR.html,900 у.е. Договорная,900.0,у.е,,,,,44NjR,13,mirabad
ТОП,https://www.olx.uz/d/obyavlenie/arenda-4h-komnat-ID4d1sq.html,,,,,,,,4d1sq,13,mirabad
Аренда 4х комнат,https://www.olx.uz/d/obyavlenie/arenda-4h-komnat-ID4d1sq.html,2 500 у.е. Договорная,2500.0,у.е,,,,,4d1sq,13,mirabad
ТОП,https://www.olx.uz/d/obyavlenie/novaya-4h-komnatnaya-kvartira-gabus-na-tarasa-shevchenko-vse-vklyucheno-ID47eqG.html,,,,,,,,47eqG,13,mirabad
Новая 4х комнатная квартира! Gabus на Тараса Шевченко! Все включено!,https://www.olx.uz/d/obyavlenie/novaya-4h-komnatnaya-kvartira-gabus-na-tarasa-shevchenko-vse-vklyucheno-ID47eqG.html,1 500 у.е. Договорная,1500.0,у.е,,,,,47eqG,13,mirabad
,https://www.olx.uz/d/obyavlenie/ul-tarasa-shevchenko-sdaetsya-4-h-komnatnaya-kvartira-v-samom-tsentre-ID42KoE.html,,,,,,,,42KoE,13,mirabad
"Ул, Тараса Шевченко! Сдается 4-х комнатная квартира в самом центре!",https://www.olx.uz/d/obyavlenie/ul-tarasa-shevchenko-sdaetsya-4-h-komnatnaya-kvartira-v-samom-tsentre-ID42KoE.html,1 700 у.е.,1700.0,у.е,,,,,42KoE,13,mirabad
,https://www.olx.uz/d/obyavlenie/zhk-nrg-oybek-sdaetsya-novyy-shikarnyy-penthaus-v-elitnom-komplekse-ID3EPfQ.html,,,,,,,,3EPfQ,13,mirabad
Жк NRG-Ойбек! Сдается новый шикарный Пентхаус в элитном комплексе!,https://www.olx.uz/d/obyavlenie/zhk-nrg-oybek-sdaetsya-novyy-shikarnyy-penthaus-v-elitnom-komplekse-ID3EPfQ.html,2 200 у.е. Договорная,2200.0,у.е,,,,,3EPfQ,13,mirabad
,https://www.olx.uz/d/obyavlenie/mirabad-avenue-penthaus-sdaetsya-shikarnaya-kvartira-s-terrasoy-v-tsentre-ID48lfg.html,,,,,,,,48lfg,13,mirabad
Mirabad Avenue-ПЕНТХАУС! Сдается шикарная квартира с террасой в центре,https://www.olx.uz/d/obyavlenie/mirabad-avenue-penthaus-sdaetsya-shikarnaya-kvartira-s-terrasoy-v-tsentre-ID48lfg.html,3 000 у.е. Договорная,3000.0,у.е,,,,,48lfg,13,mirabad
,https://www.olx.uz/d/obyavlenie/nrg-oybek-sdaetsya-novaya-3-h-komnatnaya-kvartira-v-elit-komplekse-ID3dHLE.html,,,,,,,,3dHLE,13,mirabad
NRG-Ойбек! Сдается новая 3-х комнатная квартира в элит комплексе!,https://www.olx.uz/d/obyavlenie/nrg-oybek-sdaetsya-novaya-3-h-komnatnaya-kvartira-v-elit-komplekse-ID3dHLE.html,1 400 у.е.,1400.0,у.е,,,,,3dHLE,13,mirabad
,https://www.olx.uz/d/obyavlenie/zhk-mirabad-avenyu-dubleks-sdaetsya-novaya-kvartira-v-tsentre-goroda-ID3I5ai.html,,,,,,,,3I5ai,13,mirabad
ЖК Мирабад Авеню ДУБЛЕКС! Сдаётся новая квартира в центре города!,https://www.olx.uz/d/obyavlenie/zhk-mirabad-avenyu-dubleks-sdaetsya-novaya-kvartira-v-tsentre-goroda-ID3I5ai.html,1 700 у.е. Договорная,1700.0,у.е,,,,,3I5ai,13,mirabad
,https://www.olx.uz/d/obyavlenie/sdaetsya-2-komnatnaya-kvartira-vid-na-ulitsu-mirabad-avenue-ID4dAVm.html,,,,,,,,4dAVm,13,mirabad
