title,url,price_raw,price_value,price_currency,location_text,posted_date_raw,posted_date,time_raw,card_id,district_id,district_name
,https://www.olx.uz/d/obyavlenie/sdaetsya-v-dolgosrochnuyu-arendu-kvartira-so-vsemi-udobstvami-ID4f0Sd.html,,,,,,,,4f0Sd,12,mirzo-ulugbek
Сдается в долгосрочную аренду квартира со всеми удобствами,https://www.olx.uz/d/obyavlenie/sdaetsya-v-dolgosrochnuyu-arendu-kvartira-so-vsemi-udobstvami-ID4f0Sd.html,900 у.е. Договорная,900.0,у.е,,,,,4f0Sd,12,mirzo-ulugbek
,https://www.olx.uz/d/obyavlenie/akay-city-novaya-2-komnatnaya-kvartira-v-zhilom-komplekse-akay-siti-ID4esye.html,,,,,,,,4esye,12,mirzo-ulugbek
Akay City !! Новая 2-комнатная квартира в жилом комплексе Акай Сити.,https://www.olx.uz/d/obyavlenie/akay-city-novaya-2-komnatnaya-kvartira-v-zhilom-komplekse-akay-siti-ID4esye.html,1 150 у.е.,1150.0,у.е,,,,,4esye,12,mirzo-ulugbek
,https://www.olx.uz/d/obyavlenie/sdaetsya-arenda-akay-siti-3-komnatnyy-kvartira-ID4b7Pb.html,,,,,,,,4b7Pb,12,mirzo-ulugbek
Сдаётся. Аренда. Акай  сити. 3 комнатный квартира,https://www.olx.uz/d/obyavlenie/sdaetsya-arenda-akay-siti-3-komnatnyy-kvartira-ID4b7Pb.html,2 000 у.е. Договорная,2000.0,у.е,,,,,4b7Pb,12,mirzo-ulugbek
,https://www.olx.uz/d/obyavlenie/zhk-centrado-ts1-unikalnaya-4h-komnatnaya-kvartira-140m2-v-samom-tsentre-ID441gm.html,,,,,,,,441gm,12,mirzo-ulugbek
Жк Centrado!Ц1 Уникальная 4х комнатная квартира 140м2! В самом центре!,https://www.olx.uz/d/obyavlenie/zhk-centrado-ts1-unikalnaya-4h-komnatnaya-kvartira-140m2-v-samom-tsentre-ID441gm.html,1 400 у.е. Договорная,1400.0,у.е,,,,,441gm,12,mirzo-ulugbek
,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-na-ts-1-ID45Tbc.html,,,,,,,,45Tbc,12,mirzo-ulugbek
Сдается квартира на Ц-1,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-na-ts-1-ID45Tbc.html,600 у.е.,600.0,у.е,,,,,45Tbc,12,mirzo-ulugbek
,https://www.olx.uz/d/obyavlenie/zhk-centrado-ts-1-bibigon-4h-komnatnaya-kvartira-135m2-novyy-remont-ID4417c.html,,,,,,,,4417c,12,mirzo-ulugbek
