title,url,price_raw,price_value,price_currency,location_text,posted_date_raw,posted_date,time_raw,card_id,district_id,district_name
ТОП,https://www.olx.uz/d/obyavlenie/arenda-4-2-9-sergeli-7-ID4bMQT.html,,,,,,,,4bMQT,19,sergeli
Arenda 4/2/9 Sergeli-7,https://www.olx.uz/d/obyavlenie/arenda-4-2-9-sergeli-7-ID4bMQT.html,699 у.е. Договорная,699.0,у.е,,,,,4bMQT,19,sergeli
ТОП,https://www.olx.uz/d/obyavlenie/sergeli-5-bekat-bolla-kizlarga-oilaga-izharaga-beriladi-ID3UO4C.html,,,,,,,,3UO4C,19,sergeli
"Сергели.5-бекат.болла,кизларга,оилага ижарага берилади.",https://www.olx.uz/d/obyavlenie/sergeli-5-bekat-bolla-kizlarga-oilaga-izharaga-beriladi-ID3UO4C.html,450 у.е.,450.0,у.е,,,,,3UO4C,19,sergeli
ТОП,https://www.olx.uz/d/obyavlenie/srochno-sdaetsya-kvartira-ID4dzC1.html,,,,,,,,4dzC1,19,sergeli
Срочно сдаётся квартира,https://www.olx.uz/d/obyavlenie/srochno-sdaetsya-kvartira-ID4dzC1.html,430 у.е.,430.0,у.е,,,,,4dzC1,19,sergeli
,https://www.olx.uz/d/obyavlenie/sergiliy-metro-elit-hous-ID4dZx6.html,,,,,,,,4dZx6,19,sergeli
Sergiliy metro Elit hous,https://www.olx.uz/d/obyavlenie/sergiliy-metro-elit-hous-ID4dZx6.html,450 у.е.,450.0,у.е,,,,,4dZx6,19,sergeli
,https://www.olx.uz/d/obyavlenie/sh-srochno-arenda-k-ra-v-sergeli-choshtepa-oilaga-2-10-12-1-bekat-ID34nsi.html,,,,,,,,34nsi,19,sergeli
Ш.СРОЧНО аренда к-ра в сергели чоштепа оилага 2/10/12 1-бекат,https://www.olx.uz/d/obyavlenie/sh-srochno-arenda-k-ra-v-sergeli-choshtepa-oilaga-2-10-12-1-bekat-ID34nsi.html,500 у.е.,500.0,у.е,,,,,34nsi,19,sergeli
,https://www.olx.uz/d/obyavlenie/sergiliy-darhon-3-bekat-metro-oyla-bola-izla-ID3SQsu.html,,,,,,,,3SQsu,19,sergeli
Сергилий дархон 3 бекат метро ойла бола қизла,https://www.olx.uz/d/obyavlenie/sergiliy-darhon-3-bekat-metro-oyla-bola-izla-ID3SQsu.html,500 у.е.,500.0,у.е,,,,,3SQsu,19,sergeli
,https://www.olx.uz/d/obyavlenie/sergeli-6a-meros-tuyhona-3-bekat-metro-yoni-oylaga-bolarga-qizlarga-ID41dSa.html,,,,,,,,41dSa,19,sergeli
Сергели 6А Мерос туйхона 3 bekat metro yoni Oylaga bolarga qizlarga,https://www.olx.uz/d/obyavlenie/sergeli-6a-meros-tuyhona-3-bekat-metro-yoni-oylaga-bolarga-qizlarga-ID41dSa.html,450 у.е.,450.0,у.е,,,,,41dSa,19,sergeli
,https://www.olx.uz/d/obyavlenie/arenda-kvartira-bollarga-ID4eo6R.html,,,,,,,,4eo6R,19,sergeli
