title,url,price_raw,price_value,price_currency,location_text,posted_date_raw,posted_date,time_raw,card_id,district_id,district_name
ТОП,https://www.olx.uz/d/obyavlenie/tashkent-siti-gardens-sdaetsya-novaya-evrodvushka-v-elit-komplekse-ID3dCy1.html,,,,,,,,3dCy1,24,shaykhantohur
Ташкент Сити-Gardens! Сдается новая Евродвушка в элит комплексе!,https://www.olx.uz/d/obyavlenie/tashkent-siti-gardens-sdaetsya-novaya-evrodvushka-v-elit-komplekse-ID3dCy1.html,1 000 у.е. Договорная,1000.0,у.е,,,,,3dCy1,24,shaykhantohur
ТОП,https://www.olx.uz/d/obyavlenie/zhk-nest-one-2h-komnatnaya-novaya-kvartira-v-luchshem-zhk-goroda-srochno-ID44hTR.html,,,,,,,,44hTR,24,shaykhantohur
Жк Nest One! 2х комнатная новая квартира в лучшем жк города! Срочно,https://www.olx.uz/d/obyavlenie/zhk-nest-one-2h-komnatnaya-novaya-kvartira-v-luchshem-zhk-goroda-srochno-ID44hTR.html,1 000 у.е. Договорная,1000.0,у.е,,,,,44hTR,24,shaykhantohur
ТОП,https://www.olx.uz/d/obyavlenie/kvartira-izharaga-beriladi-sdaetsya-kvartira-v-arendu-ID4a16K.html,,,,,,,,4a16K,24,shaykhantohur
Квартира ижарага берилади / Сдается квартира в аренду,https://www.olx.uz/d/obyavlenie/kvartira-izharaga-beriladi-sdaetsya-kvartira-v-arendu-ID4a16K.html,600 у.е.,600.0,у.е,,,,,4a16K,24,shaykhantohur
,https://www.olx.uz/d/obyavlenie/labzak-stilnaya-evrodvushka-v-tsentre-ts-13-zhangoh-abay-2-2-9-ID4duLO.html,,,,,,,,4duLO,24,shaykhantohur
ЛАБЗАК ! Стильная евродвушка в центре Ц 13 жангох Абай 2/2/9,https://www.olx.uz/d/obyavlenie/labzak-stilnaya-evrodvushka-v-tsentre-ts-13-zhangoh-abay-2-2-9-ID4duLO.html,600 у.е.,600.0,у.е,,,,,4duLO,24,shaykhantohur
,https://www.olx.uz/d/obyavlenie/arendaga-3-honali-uy-oylaga-ganga-pinokie-ID3ica6.html,,,,,,,,3ica6,24,shaykhantohur
Арендага 3.хонали уй ойлага ганга пинокиё,https://www.olx.uz/d/obyavlenie/arendaga-3-honali-uy-oylaga-ganga-pinokie-ID3ica6.html,450 у.е.,450.0,у.е,,,,,3ica6,24,shaykhantohur
,https://www.olx.uz/d/obyavlenie/arenda-2-honali-metro-beruniy-oilaga-beriladi-ID3fMin.html,,,,,,,,3fMin,24,shaykhantohur
Аренда 2.хонали  метро беруний оилага берилади,https://www.olx.uz/d/obyavlenie/arenda-2-honali-metro-beruniy-oilaga-beriladi-ID3fMin.html,420 у.е.,420.0,у.е,,,,,3fMin,24,shaykhantohur
,https://www.olx.uz/d/obyavlenie/bollarga-xazaykali-kvartira-ID48syN.html,,,,,,,,48syN,24,shaykhantohur
Bollarga xazaykali kvartira,https://www.olx.uz/d/obyavlenie/bollarga-xazaykali-kvartira-ID48syN.html,70 у.е.,70.0,у.е,,,,,48syN,24,shaykhantohur
,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-na-zhk-gardens-ID3DbZz.html,,,,,,,,3DbZz,24,shaykhantohur
Сдаётся квартира на ЖК Гарденс‼️,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-na-zhk-gardens-ID3DbZz.html,1 000 у.е.,1000.0,у.е,,,,,3DbZz,24,shaykhantohur
,https://www.olx.uz/d/obyavlenie/zhk-tashkent-siti-gardens-sdaetsya-3h-kom-kvartira-v-elit-komplekse-ID4dcYQ.html,,,,,,,,4dcYQ,24,shaykhantohur
Жк Ташкент Сити Gardens! Сдается 3х-ком квартира! В элит комплексе!,https://www.olx.uz/d/obyavlenie/zhk-tashkent-siti-gardens-sdaetsya-3h-kom-kvartira-v-elit-komplekse-ID4dcYQ.html,1 100 у.е. Договорная,1100.0,у.е,,,,,4dcYQ,24,shaykhantohur
,https://www.olx.uz/d/obyavlenie/zhk-tashkent-siti-sdaetsya-3h-kom-kvartira-v-elit-komplekse-ID4dcXY.html,,,,,,,,4dcXY,24,shaykhantohur
Жк Ташкент Сити! Сдается 3х-ком квартира! В элит комплексе!,https://www.olx.uz/d/obyavlenie/zhk-tashkent-siti-sdaetsya-3h-kom-kvartira-v-elit-komplekse-ID4dcXY.html,1 200 у.е. Договорная,1200.0,у.е,,,,,4dcXY,24,shaykhantohur
,https://www.olx.uz/d/obyavlenie/areda-h-tashkent-siti-sovrimennaya-novovostroyka-2-komnt-ID3fKQZ.html,,,,,,,,3fKQZ,24,shaykhantohur
Ареда х Ташкент сити Соврименная нововостройка 2 комнт,https://www.olx.uz/d/obyavlenie/areda-h-tashkent-siti-sovrimennaya-novovostroyka-2-komnt-ID3fKQZ.html,1 000 у.е. Договорная,1000.0,у.е,,,,,3fKQZ,24,shaykhantohur
,https://www.olx.uz/d/obyavlenie/arenda-kvartira-3-3-10-kukcha-ulitsa-nurafshon-ID4dZrn.html,,,,,,,,4dZrn,24,shaykhantohur
Аренда квартира | 3/3/10 | Кукча | улица Нурафшон,https://www.olx.uz/d/obyavlenie/arenda-kvartira-3-3-10-kukcha-ulitsa-nurafshon-ID4dZrn.html,600 у.е. Договорная,600.0,у.е,,,,,4dZrn,24,shaykhantohur
