title,url,price_raw,price_value,price_currency,location_text,posted_date_raw,posted_date,time_raw,card_id,district_id,district_name
ТОП,https://www.olx.uz/d/obyavlenie/yakkasaroy-qushbegi-kvartira-sheriklikka-ID4cWaj.html,,,,,,,,4cWaj,26,yakkasarai
Yakkasaroy qushbegi kvartira sheriklikka,https://www.olx.uz/d/obyavlenie/yakkasaroy-qushbegi-kvartira-sheriklikka-ID4cWaj.html,100 у.е.,100.0,у.е,,,,,4cWaj,26,yakkasarai
ТОП,https://www.olx.uz/d/obyavlenie/4-honali-novostroyka-kvartira-uzok-muddatga-izharaga-beriladi-ID3UxV0.html,,,,,,,,3UxV0,26,yakkasarai
4 хонали новостройка квартира узок муддатга ижарага берилади,https://www.olx.uz/d/obyavlenie/4-honali-novostroyka-kvartira-uzok-muddatga-izharaga-beriladi-ID3UxV0.html,550 у.е.,550.0,у.е,,,,,3UxV0,26,yakkasarai
ТОП,https://www.olx.uz/d/obyavlenie/yakkasaray-zhk-novostroyka-2-komnatnaya-lyuks-ID44Q99.html,,,,,,,,44Q99,26,yakkasarai
Яккасарай ЖК новостройка 2 комнатная люкс,https://www.olx.uz/d/obyavlenie/yakkasaray-zhk-novostroyka-2-komnatnaya-lyuks-ID44Q99.html,550 у.е. Договорная,550.0,у.е,,,,,44Q99,26,yakkasarai
,https://www.olx.uz/d/obyavlenie/arenda-kvartiry-na-zhk-salamatina-yakkasarayskiy-rayon-ID3ILe4.html,,,,,,,,3ILe4,26,yakkasarai
Аренда квартиры на ЖК Саламатина Яккасарайский район,https://www.olx.uz/d/obyavlenie/arenda-kvartiry-na-zhk-salamatina-yakkasarayskiy-rayon-ID3ILe4.html,700 у.е. Договорная,700.0,у.е,,,,,3ILe4,26,yakkasarai
,https://www.olx.uz/d/obyavlenie/arenda-kvartiry-yakkasaray-ID4dAVP.html,,,,,,,,4dAVP,26,yakkasarai
Аренда Квартиры Яккасарай,https://www.olx.uz/d/obyavlenie/arenda-kvartiry-yakkasaray-ID4dAVP.html,700 у.е.,700.0,у.е,,,,,4dAVP,26,yakkasarai
,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-v-zarafshon-siti-orientir-piramid-tover-ID4dAWc.html,,,,,,,,4dAWc,26,yakkasarai
"Сдается квартира в ""Зарафшон сити"" ориентир Пирамид товер",https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-v-zarafshon-siti-orientir-piramid-tover-ID4dAWc.html,800 у.е.,800.0,у.е,,,,,4dAWc,26,yakkasarai
,https://www.olx.uz/d/obyavlenie/sdam-kvartiru-v-arendu-yakkasaray-zhk-istanbul-siti-3-6-10-1-ID48S5Y.html,,,,,,,,48S5Y,26,yakkasarai
СДАМ КВАРТИРУ В АРЕНДУ /Яккасарай/жк Истанбул Сити 3/6/10 1*,https://www.olx.uz/d/obyavlenie/sdam-kvartiru-v-arendu-yakkasaray-zhk-istanbul-siti-3-6-10-1-ID48S5Y.html,550 у.е.,550.0,у.е,,,,,48S5Y,26,yakkasarai
,https://www.olx.uz/d/obyavlenie/yakkasarayskiy-rayon-istambul-siti-s-posudomoykoy-i-parkovkoy-ID3a9MN.html,,,,,,,,3a9MN,26,yakkasarai
Яккасарайский район истамбул Сити.С  посудомойкой и парковкой,https://www.olx.uz/d/obyavlenie/yakkasarayskiy-rayon-istambul-siti-s-posudomoykoy-i-parkovkoy-ID3a9MN.html,800 у.е. Договорная,800.0,у.е,,,,,3a9MN,26,yakkasarai
,https://www.olx.uz/d/obyavlenie/arenda-3k-zhk-kislorod-vid-na-reki-terrasa-parkovka-ID4dATe.html,,,,,,,,4dATe,26,yakkasarai
"Аренда 3К, ЖК «Кислород» | Вид на реки, терраса, парковка",https://www.olx.uz/d/obyavlenie/arenda-3k-zhk-kislorod-vid-na-reki-terrasa-parkovka-ID4dATe.html,2 200 у.е.,2200.0,у.е,,,,,4dATe,26,yakkasarai
,https://www.olx.uz/d/obyavlenie/seul-mun-4-2-10-srochno-sdaetsya-ID4eo82.html,,,,,,,,4eo82,26,yakkasarai
сеул мун 4\2\10 срочно сдается,https://www.olx.uz/d/obyavlenie/seul-mun-4-2-10-srochno-sdaetsya-ID4eo82.html,2 200 у.е.,2200.0,у.е,,,,,4eo82,26,yakkasarai
,https://www.olx.uz/d/obyavlenie/arenda-kvartiry-2-komnatnyy-zhk-u-tower-ID4dASP.html,,,,,,,,4dASP,26,yakkasarai
Аренда квартиры 2 комнатный ЖК U Tower,https://www.olx.uz/d/obyavlenie/arenda-kvartiry-2-komnatnyy-zhk-u-tower-ID4dASP.html,1 200 у.е.,1200.0,у.е,,,,,4dASP,26,yakkasarai
,https://www.olx.uz/d/obyavlenie/arenda-evro-kvartiry-na-yakkasaray-3-3-8-85kv-ID4dASF.html,,,,,,,,4dASF,26,yakkasarai
Аренда Евро квартиры на Яккасарай 3/3/8 85кв,https://www.olx.uz/d/obyavlenie/arenda-evro-kvartiry-na-yakkasaray-3-3-8-85kv-ID4dASF.html,1 000 у.е. Договорная,1000.0,у.е,,,,,4dASF,26,yakkasarai
,https://www.olx.uz/d/obyavlenie/1-komnatnaya-kvartira-v-yakkasarayskom-rayone-zhk-parisen-ID44oVA.html,,,,,,,,44oVA,26,yakkasarai
1 комнатная квартира в Яккасарайском районе ЖК Парисьен!,https://www.olx.uz/d/obyavlenie/1-komnatnaya-kvartira-v-yakkasarayskom-rayone-zhk-parisen-ID44oVA.html,600 у.е.,600.0,у.е,,,,,44oVA,26,yakkasarai
ТОП,https://www.olx.uz/d/obyavlenie/arenda-lyuksovoy-kvartiry-v-tsentre-tashkenta-250m2-ID4c8Sj.html,,,,,,,,4c8Sj,26,yakkasarai
Аренда Люксовой квартиры в ЦЕНТРЕ Ташкента! 250м2!,https://www.olx.uz/d/obyavlenie/arenda-lyuksovoy-kvartiry-v-tsentre-tashkenta-250m2-ID4c8Sj.html,2 999 у.е.,2999.0,у.е,,,,,4c8Sj,26,yakkasarai
ТОП,https://www.olx.uz/d/obyavlenie/arenda-2-kom-100kvadrat-zhk-aer-haus-ID4eiVg.html,,,,,,,,4eiVg,26,yakkasarai
"Аренда 2 ком, 100квадрат, Жк Аэр Хаус",https://www.olx.uz/d/obyavlenie/arenda-2-kom-100kvadrat-zhk-aer-haus-ID4eiVg.html,800 у.е.,800.0,у.е,,,,,4eiVg,26,yakkasarai
ТОП,https://www.olx.uz/d/obyavlenie/yakka-saraeskiy-raen-ID3J8gJ.html,,,,,,,,3J8gJ,26,yakkasarai
Якка Сараеский раен,https://www.olx.uz/d/obyavlenie/yakka-saraeskiy-raen-ID3J8gJ.html,280 у.е.,280.0,у.е,,,,,3J8gJ,26,yakkasarai
,https://www.olx.uz/d/obyavlenie/zhk-uzbegim-3-h-kom-100-m-yakkasarayskiy-rayon-ID44hID.html,,,,,,,,44hID,26,yakkasarai
ЖК Узбегим 3-х ком 100 м² Яккасарайский район,https://www.olx.uz/d/obyavlenie/zhk-uzbegim-3-h-kom-100-m-yakkasarayskiy-rayon-ID44hID.html,900 у.е.,900.0,у.е,,,,,44hID,26,yakkasarai
,https://www.olx.uz/d/obyavlenie/kvartira-vozle-parka-babura-2-h-kom-3-4-zvonite-ID3aNE3.html,,,,,,,,3aNE3,26,yakkasarai
Квартира возле парка Бабура! 2-х ком/3/4! Звоните!,https://www.olx.uz/d/obyavlenie/kvartira-vozle-parka-babura-2-h-kom-3-4-zvonite-ID3aNE3.html,500 у.е. Договорная,500.0,у.е,,,,,3aNE3,26,yakkasarai
,https://www.olx.uz/d/obyavlenie/2k-kvartira-v-prestige-house-tsentr-goroda-dizaynerskiy-remont-ID4dASA.html,,,,,,,,4dASA,26,yakkasarai
"2К квартира в Prestige House | Центр города, дизайнерский ремонт",https://www.olx.uz/d/obyavlenie/2k-kvartira-v-prestige-house-tsentr-goroda-dizaynerskiy-remont-ID4dASA.html,950 у.е.,950.0,у.е,,,,,4dASA,26,yakkasarai
,https://www.olx.uz/d/obyavlenie/sdam-2-4-9-kv-yakkasarayskiy-shota-rustaveli-5-minut-do-metro-oybek-1-ID48r1e.html,,,,,,,,48r1e,26,yakkasarai
СДАМ 2\4\9 кв Яккасарайский /Шота Руставели 5 минут до метро Ойбек 1*,https://www.olx.uz/d/obyavlenie/sdam-2-4-9-kv-yakkasarayskiy-shota-rustaveli-5-minut-do-metro-oybek-1-ID48r1e.html,500 у.е.,500.0,у.е,,,,,48r1e,26,yakkasarai
,https://www.olx.uz/d/obyavlenie/sdaetsya-evro-kvartira-na-zhk-aeroport-4-5-8-120kv-ID4dARL.html,,,,,,,,4dARL,26,yakkasarai
Сдается Евро квартира на ЖК Аэропорт 4/5/8 120кв,https://www.olx.uz/d/obyavlenie/sdaetsya-evro-kvartira-na-zhk-aeroport-4-5-8-120kv-ID4dARL.html,1 500 у.е. Договорная,1500.0,у.е,,,,,4dARL,26,yakkasarai
,https://www.olx.uz/d/obyavlenie/arenda-kvartira-yakkasaray-zhk-nukus-avenue-1-8-9-ID4dd0A.html,,,,,,,,4dd0A,26,yakkasarai
Аренда квартира | Яккасарай | ЖК Nukus avenue | 1/8/9,https://www.olx.uz/d/obyavlenie/arenda-kvartira-yakkasaray-zhk-nukus-avenue-1-8-9-ID4dd0A.html,700 у.е.,700.0,у.е,,,,,4dd0A,26,yakkasarai
,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-v-yakkasarayskom-rayone-zhk-kislorod-ID3375z.html,,,,,,,,3375z,26,yakkasarai
