title,url,price_raw,price_value,price_currency,location_text,posted_date_raw,posted_date,time_raw,card_id,district_id,district_name
ТОП,https://www.olx.uz/d/obyavlenie/lux-kvadtira-arenda-ID4cPmu.html,,,,,,,,4cPmu,22,yashnabad
Lux kvadtira  arenda,https://www.olx.uz/d/obyavlenie/lux-kvadtira-arenda-ID4cPmu.html,700 у.е.,700.0,у.е,,,,,4cPmu,22,yashnabad
ТОП,https://www.olx.uz/d/obyavlenie/komnata-v-butik-otele-v-tsentre-ID4e7gA.html,,,,,,,,4e7gA,22,yashnabad
Комната в бутик-отеле в центре,https://www.olx.uz/d/obyavlenie/komnata-v-butik-otele-v-tsentre-ID4e7gA.html,450 у.е.,450.0,у.е,,,,,4e7gA,22,yashnabad
ТОП,https://www.olx.uz/d/obyavlenie/arenda-dolgosrochn-ID42Lpx.html,,,,,,,,42Lpx,22,yashnabad
Аренда долгосрочн,https://www.olx.uz/d/obyavlenie/arenda-dolgosrochn-ID42Lpx.html,400 у.е.,400.0,у.е,,,,,42Lpx,22,yashnabad
,https://www.olx.uz/d/obyavlenie/arenda-4-kom-novostroyka-parkentskiy-ID4eoaW.html,,,,,,,,4eoaW,22,yashnabad
Аренда 4 ком Новостройка  Паркентский,https://www.olx.uz/d/obyavlenie/arenda-4-kom-novostroyka-parkentskiy-ID4eoaW.html,1 100 у.е.,1100.0,у.е,,,,,4eoaW,22,yashnabad
,https://www.olx.uz/d/obyavlenie/mahtumkuli-arenda-v-novostroyke-1-1-15-ID4eoaR.html,,,,,,,,4eoaR,22,yashnabad
Махтумкули Аренда в новостройке 1/1/15,https://www.olx.uz/d/obyavlenie/mahtumkuli-arenda-v-novostroyke-1-1-15-ID4eoaR.html,500 у.е.,500.0,у.е,,,,,4eoaR,22,yashnabad
,https://www.olx.uz/d/obyavlenie/arenda-aviyasozlar3-2-komnaty-ID4dd2F.html,,,,,,,,4dd2F,22,yashnabad
Аренда Авиясозлар3  2 комнаты,https://www.olx.uz/d/obyavlenie/arenda-aviyasozlar3-2-komnaty-ID4dd2F.html,400 у.е.,400.0,у.е,,,,,4dd2F,22,yashnabad
,https://www.olx.uz/d/obyavlenie/arenda-1-5-15-zhk-beshchinor-mahtumkuli-it-park-ashhabad-tashselmash-aviago-ID4dAT7.html,,,,,,,,4dAT7,22,yashnabad
"Аренда 1/5/15 ЖК Бешчинор,Махтумкули,IT Park,Ашхабад,Ташсельмаш,Авиаго",https://www.olx.uz/d/obyavlenie/arenda-1-5-15-zhk-beshchinor-mahtumkuli-it-park-ashhabad-tashselmash-aviago-ID4dAT7.html,500 у.е. Договорная,500.0,у.е,,,,,4dAT7,22,yashnabad
,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-na-parkentskom-orientir-tapoich-most-2-5-12-ID44nkp.html,,,,,,,,44nkp,22,yashnabad
Сдаётся квартира на Паркентском Ориентир Тапоич мост ! 2/5/12,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-na-parkentskom-orientir-tapoich-most-2-5-12-ID44nkp.html,550 у.е. Договорная,550.0,у.е,,,,,44nkp,22,yashnabad
,https://www.olx.uz/d/obyavlenie/arenda-kvartira-olmos-navostroyka-2-15-16-ID4dASt.html,,,,,,,,4dASt,22,yashnabad
Arenda kvartira. Olmos navostroyka. 2/15/16,https://www.olx.uz/d/obyavlenie/arenda-kvartira-olmos-navostroyka-2-15-16-ID4dASt.html,350 у.е.,350.0,у.е,,,,,4dASt,22,yashnabad
,https://www.olx.uz/d/obyavlenie/arenda-2-4-9-assalom-sohil-fargona-yuli-uzbum-mirabad-5-min-do-tsentra-ID4dARk.html,,,,,,,,4dARk,22,yashnabad
"Аренда 2/4/9 Assalom Sohil,Фаргона Йули,Узбум,Мирабад,5 мин до центра",https://www.olx.uz/d/obyavlenie/arenda-2-4-9-assalom-sohil-fargona-yuli-uzbum-mirabad-5-min-do-tsentra-ID4dARk.html,600 у.е. Договорная,600.0,у.е,,,,,4dARk,22,yashnabad
,https://www.olx.uz/d/obyavlenie/arenda-1komnatnaya-assalom-sohil-semeynym-pustaya-rieltor-ID4eo6i.html,,,,,,,,4eo6i,22,yashnabad
"Аренда 1комнатная Assalom Sohil,семейным,пустая. Риэлтор.",https://www.olx.uz/d/obyavlenie/arenda-1komnatnaya-assalom-sohil-semeynym-pustaya-rieltor-ID4eo6i.html,350 у.е.,350.0,у.е,,,,,4eo6i,22,yashnabad
,https://www.olx.uz/d/obyavlenie/arenda-2-komnatnoy-50kv-v-zhk-assalom-sohil-fargona-yuli-uzbum-mirabad-ID4dAQD.html,,,,,,,,4dAQD,22,yashnabad
"Аренда 2 комнатной 50кв² в ЖК Assalom Sohil,Фаргона Йули,Узбум,Мирабад",https://www.olx.uz/d/obyavlenie/arenda-2-komnatnoy-50kv-v-zhk-assalom-sohil-fargona-yuli-uzbum-mirabad-ID4dAQD.html,450 у.е.,450.0,у.е,,,,,4dAQD,22,yashnabad
,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-yashnabad-olmos-mahalla-3-3-16-450y-e-ID4b0Ug.html,,,,,,,,4b0Ug,22,yashnabad
Сдается квартира | Яшнабад | | Олмос махалла | 3/3/16| 450y.e,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-yashnabad-olmos-mahalla-3-3-16-450y-e-ID4b0Ug.html,450 у.е.,450.0,у.е,,,,,4b0Ug,22,yashnabad
ТОП,https://www.olx.uz/d/obyavlenie/ijaraga-kvartira-700-000sdaetsya-kvartira-dlya-studentov-ID4djwL.html,,,,,,,,4djwL,22,yashnabad
Ijaraga kvartira 700.000Сдается квартира для студентов,https://www.olx.uz/d/obyavlenie/ijaraga-kvartira-700-000sdaetsya-kvartira-dlya-studentov-ID4djwL.html,700 000 сум Договорная,700000.0,сум,,,,,4djwL,22,yashnabad
ТОП,https://www.olx.uz/d/obyavlenie/arenda-kvartiry-ts4-ID4dU0R.html,,,,,,,,4dU0R,22,yashnabad
Аренда квартиры Ц4,https://www.olx.uz/d/obyavlenie/arenda-kvartiry-ts4-ID4dU0R.html,1 400 у.е.,1400.0,у.е,,,,,4dU0R,22,yashnabad
ТОП,https://www.olx.uz/d/obyavlenie/arenda-svetlaya-kvartira-v-novom-zhk-infinity-ID4bnQR.html,,,,,,,,4bnQR,22,yashnabad
Аренда светлая квартира в новом ЖК Infinity!,https://www.olx.uz/d/obyavlenie/arenda-svetlaya-kvartira-v-novom-zhk-infinity-ID4bnQR.html,1 300 у.е. Договорная,1300.0,у.е,,,,,4bnQR,22,yashnabad
,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-yashnabad-kadysheva-2-2-4-ID4chJ9.html,,,,,,,,4chJ9,22,yashnabad
Сдается квартира | Яшнабад | Кадышева | 2/2/4,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-yashnabad-kadysheva-2-2-4-ID4chJ9.html,450 у.е.,450.0,у.е,,,,,4chJ9,22,yashnabad
,https://www.olx.uz/d/obyavlenie/studentam-parnyam-devushkam-srochno-arenda-1-komnatnaya-kadysheva-lisunov-ID4dZqg.html,,,,,,,,4dZqg,22,yashnabad
"Студентам, парням, девушкам!СРОЧНО АРЕНДА!1 комнатная|Кадышева,Лисунов",https://www.olx.uz/d/obyavlenie/studentam-parnyam-devushkam-srochno-arenda-1-komnatnaya-kadysheva-lisunov-ID4dZqg.html,400 у.е. Договорная,400.0,у.е,,,,,4dZqg,22,yashnabad
,https://www.olx.uz/d/obyavlenie/1-2-16-assalom-sohil-30m2-pustaya-novaya-ID4dZxp.html,,,,,,,,4dZxp,22,yashnabad
"1/2/16 Assalom Sohil, 30м2, пустая, новая",https://www.olx.uz/d/obyavlenie/1-2-16-assalom-sohil-30m2-pustaya-novaya-ID4dZxp.html,350 у.е.,350.0,у.е,,,,,4dZxp,22,yashnabad
,https://www.olx.uz/d/obyavlenie/arenda-kvartira-yashnabatskom-ranee-ID4aoCQ.html,,,,,,,,4aoCQ,22,yashnabad
Аренда квартира яшнабатском ранее,https://www.olx.uz/d/obyavlenie/arenda-kvartira-yashnabatskom-ranee-ID4aoCQ.html,400 у.е.,400.0,у.е,,,,,4aoCQ,22,yashnabad
,https://www.olx.uz/d/obyavlenie/arenda-kvartiry-ID4enX4.html,,,,,,,,4enX4,22,yashnabad
Аренда квартиры.,https://www.olx.uz/d/obyavlenie/arenda-kvartiry-ID4enX4.html,300 у.е.,300.0,у.е,,,,,4enX4,22,yashnabad
,https://www.olx.uz/d/obyavlenie/arenda-kvartira-yashnabad-ID4aFgE.html,,,,,,,,4aFgE,22,yashnabad
Аренда квартира Яшнабад,https://www.olx.uz/d/obyavlenie/arenda-kvartira-yashnabad-ID4aFgE.html,350 у.е.,350.0,у.е,,,,,4aFgE,22,yashnabad
,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-v-arendu-mirabad-infiniti-ts1-900-ID4dZmt.html,,,,,,,,4dZmt,22,yashnabad
Сдается квартира в аренду | Мирабад |Инфинити Ц1 | 900$,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-v-arendu-mirabad-infiniti-ts1-900-ID4dZmt.html,900 у.е. Договорная,900.0,у.е,,,,,4dZmt,22,yashnabad
,https://www.olx.uz/d/obyavlenie/arenda-kvartira-350-ID4aFhG.html,,,,,,,,4aFhG,22,yashnabad
Аренда квартира 350$,https://www.olx.uz/d/obyavlenie/arenda-kvartira-350-ID4aFhG.html,350 у.е.,350.0,у.е,,,,,4aFhG,22,yashnabad
,https://www.olx.uz/d/obyavlenie/zhk-parkent-village-sdaetsya-2-komnatnaya-kvartira-2-4-5-ID4enXi.html,,,,,,,,4enXi,22,yashnabad
ЖК Parkent Village — сдается 2-комнатная квартира 2/4/5,https://www.olx.uz/d/obyavlenie/zhk-parkent-village-sdaetsya-2-komnatnaya-kvartira-2-4-5-ID4enXi.html,700 у.е.,700.0,у.е,,,,,4enXi,22,yashnabad
,https://www.olx.uz/d/obyavlenie/arenda-2-xonali-kadishva-ID46Q0s.html,,,,,,,,46Q0s,22,yashnabad
Arenda 2 xonali Kadishva,https://www.olx.uz/d/obyavlenie/arenda-2-xonali-kadishva-ID46Q0s.html,350 у.е. Договорная,350.0,у.е,,,,,46Q0s,22,yashnabad
ТОП,https://www.olx.uz/d/obyavlenie/toshkent-shahar-yashnobod-tumani-olmos-mahallada-1-xonali-uy-ID3J6O8.html,,,,,,,,3J6O8,22,yashnabad
Toshkent shahar Yashnobod tumani Olmos mahallada 1 xonali uy,https://www.olx.uz/d/obyavlenie/toshkent-shahar-yashnobod-tumani-olmos-mahallada-1-xonali-uy-ID3J6O8.html,290 у.е.,290.0,у.е,,,,,3J6O8,22,yashnabad
ТОП,https://www.olx.uz/d/obyavlenie/mahtumkuli-zhk-novostroyka-2-komnatnaya-kvartira-yevro-lyuks-ID3ZmkO.html,,,,,,,,3ZmkO,22,yashnabad
Махтумкули ЖК новостройка 2 комнатная квартира йевро люкс,https://www.olx.uz/d/obyavlenie/mahtumkuli-zhk-novostroyka-2-komnatnaya-kvartira-yevro-lyuks-ID3ZmkO.html,600 у.е. Договорная,600.0,у.е,,,,,3ZmkO,22,yashnabad
ТОП,https://www.olx.uz/d/obyavlenie/mahtumkuli-117-arenda-kvartiry-2-komnatnaya-6-etazh-2-6-9-ID4edBS.html,,,,,,,,4edBS,22,yashnabad
"Махтумкули 117- Аренда Квартиры 2- комнатная ,6- этаж 2/6/9",https://www.olx.uz/d/obyavlenie/mahtumkuli-117-arenda-kvartiry-2-komnatnaya-6-etazh-2-6-9-ID4edBS.html,600 у.е.,600.0,у.е,,,,,4edBS,22,yashnabad
,https://www.olx.uz/d/obyavlenie/sdayu-arenda-kvartira-v-yashnabade-ID4enS1.html,,,,,,,,4enS1,22,yashnabad
Сдаю аренда  Квартира  в  Яшнабаде,https://www.olx.uz/d/obyavlenie/sdayu-arenda-kvartira-v-yashnabade-ID4enS1.html,200 у.е.,200.0,у.е,,,,,4enS1,22,yashnabad
,https://www.olx.uz/d/obyavlenie/arenda-2-4-9-yashnabod-kotelnyy-buhoro-kafe-ID4enPM.html,,,,,,,,4enPM,22,yashnabad
Аренда 2/4/9 Яшнабод котельный (Бухоро кафе),https://www.olx.uz/d/obyavlenie/arenda-2-4-9-yashnabod-kotelnyy-buhoro-kafe-ID4enPM.html,600 у.е.,600.0,у.е,,,,,4enPM,22,yashnabad
,https://www.olx.uz/d/obyavlenie/sdaetsya-zhk-assalom-sohil-orientir-park-ashhabad-ID2NEZG.html,,,,,,,,2NEZG,22,yashnabad
"Сдается  ЖК Ассалом Сохил          
Ориентир - парк Ашхабад",https://www.olx.uz/d/obyavlenie/sdaetsya-zhk-assalom-sohil-orientir-park-ashhabad-ID2NEZG.html,750 у.е.,750.0,у.е,,,,,2NEZG,22,yashnabad
,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-s-novym-remontom-ID4enR2.html,,,,,,,,4enR2,22,yashnabad
Сдается квартира с новым ремонтом!,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-s-novym-remontom-ID4enR2.html,500 у.е.,500.0,у.е,,,,,4enR2,22,yashnabad
,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-po-ulitse-mahtumkuli-ID37BqU.html,,,,,,,,37BqU,22,yashnabad
Сдается квартира по улице Махтумкули,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-po-ulitse-mahtumkuli-ID37BqU.html,700 у.е.,700.0,у.е,,,,,37BqU,22,yashnabad
,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-na-zhk-green-park-avtorskim-remontam-ID3WJtg.html,,,,,,,,3WJtg,22,yashnabad
Сдаётся квартира на ЖК Green park авторским ремонтам‼️,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-na-zhk-green-park-avtorskim-remontam-ID3WJtg.html,700 у.е.,700.0,у.е,,,,,3WJtg,22,yashnabad
,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-v-arendu-yashnabad-metro-olmos-1-12-16-ID4enOC.html,,,,,,,,4enOC,22,yashnabad
Сдается квартира в аренду | Яшнабад | метро Олмос | 1/12/16,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-v-arendu-yashnabad-metro-olmos-1-12-16-ID4enOC.html,400 у.е.,400.0,у.е,,,,,4enOC,22,yashnabad
,https://www.olx.uz/d/obyavlenie/arenda-mahtumkuli-nyu-layf-3-6-9-ID4dcIE.html,,,,,,,,4dcIE,22,yashnabad
Аренда Махтумкули Нью лайф 3/6/9,https://www.olx.uz/d/obyavlenie/arenda-mahtumkuli-nyu-layf-3-6-9-ID4dcIE.html,800 у.е.,800.0,у.е,,,,,4dcIE,22,yashnabad
