title,url,price_raw,price_value,price_currency,location_text,posted_date_raw,posted_date,time_raw,card_id,district_id,district_name
Ijaraga 1 xonali uy beriladi,https://www.olx.uz/d/obyavlenie/ijaraga-1-xonali-uy-beriladi-ID4ejLm.html,3 200 000 сум,3200000.0,сум,,,,,4ejLm,18,bektemir
Водник 2-х комнатная квартира в аренду,https://www.olx.uz/d/obyavlenie/vodnik-2-h-komnatnaya-kvartira-v-arendu-ID4dm52.html,550 у.е.,550.0,у.е,,,,,4dm52,18,bektemir
"Сдаётся в аренду 2-х комнатная квартира Мусаффо маскан Бектемир,",https://www.olx.uz/d/obyavlenie/sdaetsya-v-arendu-2-h-komnatnaya-kvartira-musaffo-maskan-bektemir-ID4acfv.html,400 у.е.,400.0,у.е,,,,,4acfv,18,bektemir
Сдаю аренда  Квартира  перед  Куйлюк метро,https://www.olx.uz/d/obyavlenie/sdayu-arenda-kvartira-pered-kuylyuk-metro-ID4enOM.html,200 у.е.,200.0,у.е,,,,,4enOM,18,bektemir
Квартира топширамиз Бектемирский район профи университет орка томони,https://www.olx.uz/d/obyavlenie/kvartira-topshiramiz-bektemirskiy-rayon-profi-universitet-orka-tomoni-ID469gK.html,80 у.е.,80.0,у.е,,,,,469gK,18,bektemir
Угил болар учун жой бор Бектемирский профи университет га Якин.,https://www.olx.uz/d/obyavlenie/ugil-bolar-uchun-zhoy-bor-bektemirskiy-profi-universitet-ga-yakin-ID4aqF2.html,800 000 сум,800000.0,сум,,,,,4aqF2,18,bektemir
Сдается квартира на Воднике,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-na-vodnike-ID4elIb.html,300 у.е.,300.0,у.е,,,,,4elIb,18,bektemir
Сдается 2 ком Водник ЖК Musaffo Maskan. Бектемир. Новостройка,https://www.olx.uz/d/obyavlenie/sdaetsya-2-kom-vodnik-zhk-musaffo-maskan-bektemir-novostroyka-ID4enDU.html,400 у.е.,400.0,у.е,,,,,4enDU,18,bektemir
Hovli uy ijaraga beriladi,https://www.olx.uz/d/obyavlenie/hovli-uy-ijaraga-beriladi-ID4enfa.html,250 у.е.,250.0,у.е,,,,,4enfa,18,bektemir
Arenda kvartira Bektemir T Vodnik Muljal park oldida 1xona 2xona qilin,https://www.olx.uz/d/obyavlenie/arenda-kvartira-bektemir-t-vodnik-muljal-park-oldida-1xona-2xona-qilin-ID4enkf.html,3 200 000 сум,3200000.0,сум,,,,,4enkf,18,bektemir
Arzon Arenda Srochna 3 xona,https://www.olx.uz/d/obyavlenie/arzon-arenda-srochna-3-xona-ID4dYGD.html,350 у.е.,350.0,у.е,,,,,4dYGD,18,bektemir
Аренда  Квартира  в метро Куйлюк,https://www.olx.uz/d/obyavlenie/arenda-kvartira-v-metro-kuylyuk-ID4emRS.html,250 у.е.,250.0,у.е,,,,,4emRS,18,bektemir
2 хоналик квартира ижарага берилади.,https://www.olx.uz/d/obyavlenie/2-honalik-kvartira-izharaga-beriladi-ID42p0n.html,350 у.е. Договорная,350.0,у.е,,,,,42p0n,18,bektemir
