title,url,price_raw,price_value,price_currency,location_text,posted_date_raw,posted_date,time_raw,card_id,district_id,district_name
Сдаётся в аренду 3х ком.  квартира Чиланзар-19 квартал,https://www.olx.uz/d/obyavlenie/sdaetsya-v-arendu-3h-kom-kvartira-chilanzar-19-kvartal-ID3RPTI.html,600 у.е.,600.0,у.е,,,,,3RPTI,23,chilonzor
"Аренда постучная квартира,Без маклер ижара,Кунлик ва ойлик квартира,",https://www.olx.uz/d/obyavlenie/arenda-postuchnaya-kvartira-bez-makler-izhara-kunlik-va-oylik-kvartira-ID4f0Ys.html,120 000 сум,120000.0,сум,,,,,4f0Ys,23,chilonzor
Сдается в аренду 1 комнатная квартира,https://www.olx.uz/d/obyavlenie/sdaetsya-v-arendu-1-komnatnaya-kvartira-ID4f760.html,400 у.е.,400.0,у.е,,,,,4f760,23,chilonzor
Сдаётся Чиланзар 2 2/4/4.,https://www.olx.uz/d/obyavlenie/sdaetsya-chilanzar-2-2-4-4-ID4eNpV.html,400 у.е.,400.0,у.е,,,,,4eNpV,23,chilonzor
Ijaraga  beriladi bez makler kvartira,https://www.olx.uz/d/obyavlenie/ijaraga-beriladi-bez-makler-kvartira-ID4fakh.html,300 у.е.,300.0,у.е,,,,,4fakh,23,chilonzor
Аренда по улице мукими.  Одна переделанная на двух,https://www.olx.uz/d/obyavlenie/arenda-po-ulitse-mukimi-odna-peredelannaya-na-dvuh-ID4dZKd.html,500 у.е.,500.0,у.е,,,,,4dZKd,23,chilonzor
Сдаётся квартира на Чиланзаре 11квартале 1*2 комнатную 330 у. е семьи,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-na-chilanzare-11kvartale-12-komnatnuyu-330-u-e-semi-ID4cwBR.html,330 у.е.,330.0,у.е,,,,,4cwBR,23,chilonzor
Аренда Евро квартира Чиланзар 8 1/1/4,https://www.olx.uz/d/obyavlenie/arenda-evro-kvartira-chilanzar-8-1-1-4-ID4fbyo.html,400 у.е.,400.0,у.е,,,,,4fbyo,23,chilonzor
3 xonali kvartira,https://www.olx.uz/d/obyavlenie/3-xonali-kvartira-ID4fbcu.html,430 у.е.,430.0,у.е,,,,,4fbcu,23,chilonzor
Chilonzor metrosi,https://www.olx.uz/d/obyavlenie/chilonzor-metrosi-ID4dZIS.html,450 у.е. Договорная,450.0,у.е,,,,,4dZIS,23,chilonzor
Чиланзар-8 / ГУВД | 2-комн. 2 из 4 | 56 м2 [M:0114],https://www.olx.uz/d/obyavlenie/chilanzar-8-guvd-2-komn-2-iz-4-56-m2-m0114-ID3TdDp.html,400 у.е.,400.0,у.е,,,,,3TdDp,23,chilonzor
"Chilonzor uchtepa tumani 3 xona oila,bollar,qizlar",https://www.olx.uz/d/obyavlenie/chilonzor-uchtepa-tumani-3-xona-oila-bollar-qizlar-ID4fbCY.html,500 у.е.,500.0,у.е,,,,,4fbCY,23,chilonzor
Чилонзор 12 ор: миллий таом фарход бозори,https://www.olx.uz/d/obyavlenie/chilonzor-12-or-milliy-taom-farhod-bozori-ID4eohd.html,400 у.е.,400.0,у.е,,,,,4eohd,23,chilonzor
Аренда. Собственник. 1-комнатная квартира,https://www.olx.uz/d/obyavlenie/arenda-sobstvennik-1-komnatnaya-kvartira-ID3ADps.html,450 у.е.,450.0,у.е,,,,,3ADps,23,chilonzor
Аренда сергели  чештепа 2/3/9,https://www.olx.uz/d/obyavlenie/arenda-sergeli-cheshtepa-2-3-9-ID4cBGj.html,500 у.е.,500.0,у.е,,,,,4cBGj,23,chilonzor
Срочно Аренда Чилонзор 3ком,https://www.olx.uz/d/obyavlenie/srochno-arenda-chilonzor-3kom-ID4eNDX.html,500 у.е.,500.0,у.е,,,,,4eNDX,23,chilonzor
Сдается 2 ком Чиланзар 13 Фархадский рынок,https://www.olx.uz/d/obyavlenie/sdaetsya-2-kom-chilanzar-13-farhadskiy-rynok-ID4fbCN.html,550 у.е.,550.0,у.е,,,,,4fbCN,23,chilonzor
Чиланзар аренда 2хонали янги рем.меб тех,https://www.olx.uz/d/obyavlenie/chilanzar-arenda-2honali-yangi-rem-meb-teh-ID4dp9o.html,500 у.е.,500.0,у.е,,,,,4dp9o,23,chilonzor
Doyimiy sutudent qizlarga maklersiz kivartira,https://www.olx.uz/d/obyavlenie/doyimiy-sutudent-qizlarga-maklersiz-kivartira-ID4aaDi.html,1 000 000 сум,1000000.0,сум,,,,,4aaDi,23,chilonzor
Novza metro 2 xona navastroyka,https://www.olx.uz/d/obyavlenie/novza-metro-2-xona-navastroyka-ID42HwX.html,450 у.е.,450.0,у.е,,,,,42HwX,23,chilonzor
Chilonzor metro oila qizlar,https://www.olx.uz/d/obyavlenie/chilonzor-metro-oila-qizlar-ID3RrUC.html,550 у.е.,550.0,у.е,,,,,3RrUC,23,chilonzor
Чилонзор Новза метро якинида аренда квартира,https://www.olx.uz/d/obyavlenie/chilonzor-novza-metro-yakinida-arenda-kvartira-ID4fahn.html,300 у.е. Договорная,300.0,у.е,,,,,4fahn,23,chilonzor
Аренда чиланзар 2   Двух комнатная,https://www.olx.uz/d/obyavlenie/arenda-chilanzar-2-dvuh-komnatnaya-ID4eNgk.html,650 у.е.,650.0,у.е,,,,,4eNgk,23,chilonzor
Arendaga beriladi Oq tepa sohil boyi,https://www.olx.uz/d/obyavlenie/arendaga-beriladi-oq-tepa-sohil-boyi-ID4fbxr.html,500 у.е.,500.0,у.е,,,,,4fbxr,23,chilonzor
Chilonzor 3 kv srochna arendaga beriladi,https://www.olx.uz/d/obyavlenie/chilonzor-3-kv-srochna-arendaga-beriladi-ID4fbwk.html,400 у.е.,400.0,у.е,,,,,4fbwk,23,chilonzor
Срочно срочно срочно Аренда Чилонзор 23 квартал Ширин чорраха,https://www.olx.uz/d/obyavlenie/srochno-srochno-srochno-arenda-chilonzor-23-kvartal-shirin-chorraha-ID4fbsT.html,400 у.е.,400.0,у.е,,,,,4fbsT,23,chilonzor
"Arenda kvartira,mehmonxona,hotel,xostel,кунлик мехмонхона",https://www.olx.uz/d/obyavlenie/arenda-kvartira-mehmonxona-hotel-xostel-kunlik-mehmonhona-ID4c2tl.html,150 000 сум,150000.0,сум,,,,,4c2tl,23,chilonzor
