title,url,price_raw,price_value,price_currency,location_text,posted_date_raw,posted_date,time_raw,card_id,district_id,district_name
Жк Mirabad avenue С Терассой! Сдается новая 3х-ком квартира!,https://www.olx.uz/d/obyavlenie/zhk-mirabad-avenue-s-terassoy-sdaetsya-novaya-3h-kom-kvartira-ID4dd4c.html,3 500 у.е. Договорная,3500.0,у.е,,,,,4dd4c,13,mirabad
Долгосрочные Аренда Квартира,https://www.olx.uz/d/obyavlenie/dolgosrochnye-arenda-kvartira-ID4dE5a.html,1 000 у.е. Договорная,1000.0,у.е,,,,,4dE5a,13,mirabad
Oybek metro kvartira bollarga,https://www.olx.uz/d/obyavlenie/oybek-metro-kvartira-bollarga-ID4cooA.html,90 у.е.,90.0,у.е,,,,,4cooA,13,mirabad
Жк Mirabad Elie! 3х комнатная просторная квартира со всеми удобствами!,https://www.olx.uz/d/obyavlenie/zhk-mirabad-elie-3h-komnatnaya-prostornaya-kvartira-so-vsemi-udobstvami-ID44iRE.html,1 200 у.е. Договорная,1200.0,у.е,,,,,44iRE,13,mirabad
"АРЕНДА КВАРТИРЫ!2х комн,40м2|НУКУС ГЛИНКА, ор посоль.России  БКС",https://www.olx.uz/d/obyavlenie/arenda-kvartiry-2h-komn-40m2-nukus-glinka-or-posol-rossii-bks-ID4fbKE.html,800 у.е. Договорная,800.0,у.е,,,,,4fbKE,13,mirabad
Тараса Шевченко 3комнат 105кв СДАМ Айбек метро Гастро Чехова ДЛЯ СЕМЬИ,https://www.olx.uz/d/obyavlenie/tarasa-shevchenko-3komnat-105kv-sdam-aybek-metro-gastro-chehova-dlya-semi-ID4eNrb.html,550 у.е. Договорная,550.0,у.е,,,,,4eNrb,13,mirabad
Квартира аренда 3-комн. Мирабад 139701,https://www.olx.uz/d/obyavlenie/kvartira-arenda-3-komn-mirabad-139701-ID4fbJD.html,800 у.е.,800.0,у.е,,,,,4fbJD,13,mirabad
Ташкент метро СДАМ 2 комнат Северный вокзал Шох мед Айбек Госпитальный,https://www.olx.uz/d/obyavlenie/tashkent-metro-sdam-2-komnat-severnyy-vokzal-shoh-med-aybek-gospitalnyy-ID4eNq7.html,500 у.е. Договорная,500.0,у.е,,,,,4eNq7,13,mirabad
Цум АРЕНДА 2 комнат космонавты метро Аллея Айбек НОВАЯ фото реальные,https://www.olx.uz/d/obyavlenie/tsum-arenda-2-komnat-kosmonavty-metro-alleya-aybek-novaya-foto-realnye-ID4eNpp.html,500 у.е. Договорная,500.0,у.е,,,,,4eNpp,13,mirabad
Сдается Габус 4 комнаты,https://www.olx.uz/d/obyavlenie/sdaetsya-gabus-4-komnaty-ID4fbHL.html,2 350 у.е. Договорная,2350.0,у.е,,,,,4fbHL,13,mirabad
Сдается 4/5/9 Дархан 100 кв.м. Метро Хамида Алимджана Интеллект,https://www.olx.uz/d/obyavlenie/sdaetsya-4-5-9-darhan-100-kv-m-metro-hamida-alimdzhana-intellekt-ID3yiXn.html,1 000 у.е.,1000.0,у.е,,,,,3yiXn,13,mirabad
Сдается 5/4/9 Метро Айбек Госпитальный Хуавей JoyBowling Мирабад,https://www.olx.uz/d/obyavlenie/sdaetsya-5-4-9-metro-aybek-gospitalnyy-huavey-joybowling-mirabad-ID4b7v3.html,1 000 у.е.,1000.0,у.е,,,,,4b7v3,13,mirabad
