title,url,price_raw,price_value,price_currency,location_text,posted_date_raw,posted_date,time_raw,card_id,district_id,district_name
Аренда Тузель1 Докахлеб 111 конечка 1 /2/4,https://www.olx.uz/d/obyavlenie/arenda-tuzel1-dokahleb-111-konechka-1-2-4-ID42q7i.html,400 у.е.,400.0,у.е,,,,,42q7i,22,yashnabad
Трехкомнатная евро квартира в самом центре Ташкента,https://www.olx.uz/d/obyavlenie/trehkomnatnaya-evro-kvartira-v-samom-tsentre-tashkenta-ID3X0Dx.html,850 у.е.,850.0,у.е,,,,,3X0Dx,22,yashnabad
Уютная квартира-студия в аренду в Паркент Плаза,https://www.olx.uz/d/obyavlenie/uyutnaya-kvartira-studiya-v-arendu-v-parkent-plaza-ID4fby6.html,500 у.е.,500.0,у.е,,,,,4fby6,22,yashnabad
Аренда квартиры в ул Махтумкули ЖК Пойтахт Яшнабадском районе  2/8/9,https://www.olx.uz/d/obyavlenie/arenda-kvartiry-v-ul-mahtumkuli-zhk-poytaht-yashnabadskom-rayone-2-8-9-ID4eomi.html,799 у.е.,799.0,у.е,,,,,4eomi,22,yashnabad
Сдается 2х комнатная на Янгиабаде (Тойхона),https://www.olx.uz/d/obyavlenie/sdaetsya-2h-komnatnaya-na-yangiabade-toyhona-ID4aapK.html,450 у.е.,450.0,у.е,,,,,4aapK,22,yashnabad
Паркентский Новостройка сдается новая 3х комнатная!,https://www.olx.uz/d/obyavlenie/parkentskiy-novostroyka-sdaetsya-novaya-3h-komnatnaya-ID3EZk8.html,850 у.е. Договорная,850.0,у.е,,,,,3EZk8,22,yashnabad
Сдается 1 ком Яшнабад Метро Тузель,https://www.olx.uz/d/obyavlenie/sdaetsya-1-kom-yashnabad-metro-tuzel-ID4fbGF.html,300 у.е.,300.0,у.е,,,,,4fbGF,22,yashnabad
[АТ: 1035] 1-комн • 33 м² • этаж 4/4 КАДЫШЕВА,https://www.olx.uz/d/obyavlenie/at-1035-1-komn-33-m-etazh-4-4-kadysheva-ID3zXia.html,450 у.е.,450.0,у.е,,,,,3zXia,22,yashnabad
2-комн - 58 м² - этаж 4/5 Паркентский [МУ: 0001],https://www.olx.uz/d/obyavlenie/2-komn-58-m-etazh-4-5-parkentskiy-mu-0001-ID4bWhw.html,500 у.е.,500.0,у.е,,,,,4bWhw,22,yashnabad
Махтумкули • 2-комн • 65 м² • этаж 4/10 • [УА:0125],https://www.olx.uz/d/obyavlenie/mahtumkuli-2-komn-65-m-etazh-4-10-ua0125-ID4bKaA.html,700 у.е. Договорная,700.0,у.е,,,,,4bKaA,22,yashnabad
Махтумкули • 2-комн • 60 м² • этаж 7/9 • [УА:0123],https://www.olx.uz/d/obyavlenie/mahtumkuli-2-komn-60-m-etazh-7-9-ua0123-ID4bK6n.html,650 у.е. Договорная,650.0,у.е,,,,,4bK6n,22,yashnabad
Кадышева / Лисунова | 1-комн. 7 из 9 | 42 м2 [M:0152],https://www.olx.uz/d/obyavlenie/kadysheva-lisunova-1-komn-7-iz-9-42-m2-m0152-ID3zVUI.html,450 у.е.,450.0,у.е,,,,,3zVUI,22,yashnabad
Кадышева | 2-комн. 3 из 9 | 57 м2 [M:0142],https://www.olx.uz/d/obyavlenie/kadysheva-2-komn-3-iz-9-57-m2-m0142-ID3zX7I.html,500 у.е.,500.0,у.е,,,,,3zX7I,22,yashnabad
Махтумкули ЖК новостройка 2 комнатная квартира йевро люкс,https://www.olx.uz/d/obyavlenie/mahtumkuli-zhk-novostroyka-2-komnatnaya-kvartira-yevro-lyuks-ID3ZmkO.html,600 у.е. Договорная,600.0,у.е,,,,,3ZmkO,22,yashnabad
Аренда квартира для студентов!!!,https://www.olx.uz/d/obyavlenie/arenda-kvartira-dlya-studentov-ID30cA2.html,100 у.е. Договорная,100.0,у.е,,,,,30cA2,22,yashnabad
arenda yengi uy xch kim yawamagan,https://www.olx.uz/d/obyavlenie/arenda-yengi-uy-xch-kim-yawamagan-ID4fblU.html,350 у.е.,350.0,у.е,,,,,4fblU,22,yashnabad
Махтумкули • 2-комн • 65 м² • этаж 6/10 • [УА:0124],https://www.olx.uz/d/obyavlenie/mahtumkuli-2-komn-65-m-etazh-6-10-ua0124-ID4bK9p.html,700 у.е. Договорная,700.0,у.е,,,,,4bK9p,22,yashnabad
Садык Азимова • 2-комн • 60 м² • этаж 3/16 • [УА:0121],https://www.olx.uz/d/obyavlenie/sadyk-azimova-2-komn-60-m-etazh-3-16-ua0121-ID4bK02.html,900 у.е. Договорная,900.0,у.е,,,,,4bK02,22,yashnabad
"ЖК ""Poytaxt Residence"" | 3-комн. 2 из 9 | 66 м2 [M:0096]",https://www.olx.uz/d/obyavlenie/zhk-poytaxt-residence-3-komn-2-iz-9-66-m2-m0096-ID3Lh3x.html,700 у.е.,700.0,у.е,,,,,3Lh3x,22,yashnabad
Махтумкули | 1-комн. 2 из 9 | 45 м2 [M:0147],https://www.olx.uz/d/obyavlenie/mahtumkuli-1-komn-2-iz-9-45-m2-m0147-ID3zTRX.html,500 у.е.,500.0,у.е,,,,,3zTRX,22,yashnabad
[335]  Сдам 2-комн. 2 из 9 Ташсельмаш (Боткина) метро Буюк Ипак Йули,https://www.olx.uz/d/obyavlenie/335-sdam-2-komn-2-iz-9-tashselmash-botkina-metro-buyuk-ipak-yuli-ID2OmQB.html,500 у.е.,500.0,у.е,,,,,2OmQB,22,yashnabad
[335] Сдам 2-комн. 5 из 7 ул. Махтумкули (ЖК Green Park),https://www.olx.uz/d/obyavlenie/335-sdam-2-komn-5-iz-7-ul-mahtumkuli-zhk-green-park-ID2K2lF.html,600 у.е. Договорная,600.0,у.е,,,,,2K2lF,22,yashnabad
Лисунова | 1-комн. 3 из 5 | 52 м2 [M:0144],https://www.olx.uz/d/obyavlenie/lisunova-1-komn-3-iz-5-52-m2-m0144-ID3zVZo.html,500 у.е.,500.0,у.е,,,,,3zVZo,22,yashnabad
(335) Сдам 2-комн. 3 из 9 ул. Махтумкули (Ташсельмаш),https://www.olx.uz/d/obyavlenie/335-sdam-2-komn-3-iz-9-ul-mahtumkuli-tashselmash-ID2PQNL.html,600 у.е.,600.0,у.е,,,,,2PQNL,22,yashnabad
