title,url,price_raw,price_value,price_currency,location_text,posted_date_raw,posted_date,time_raw,card_id,district_id,district_name
Аренда срочно сдается квартира обстановкой ор-р Минор или студент поря,https://www.olx.uz/d/obyavlenie/arenda-srochno-sdaetsya-kvartira-obstanovkoy-or-r-minor-ili-student-porya-ID4eWPY.html,450 у.е.,450.0,у.е,,,,,4eWPY,25,yunusabad
Сдается банковская квартира на  длительный срок!,https://www.olx.uz/d/obyavlenie/sdaetsya-bankovskaya-kvartira-na-dlitelnyy-srok-ID3Wsxq.html,1 300 у.е. Договорная,1300.0,у.е,,,,,3Wsxq,25,yunusabad
"Аренда от собственника 2 ком евро, свободно",https://www.olx.uz/d/obyavlenie/arenda-ot-sobstvennika-2-kom-evro-svobodno-ID48L5N.html,1 100 у.е. Договорная,1100.0,у.е,,,,,48L5N,25,yunusabad
ЖК КАЗАХСТАН Шикарный Вариант + Метро Корзинка без депозита,https://www.olx.uz/d/obyavlenie/zhk-kazahstan-shikarnyy-variant-metro-korzinka-bez-depozita-ID4eolw.html,650 у.е. Договорная,650.0,у.е,,,,,4eolw,25,yunusabad
"Аренда: Новостройка, Алайский, 6 этаж",https://www.olx.uz/d/obyavlenie/arenda-novostroyka-alayskiy-6-etazh-ID3LY3V.html,1 800 у.е.,1800.0,у.е,,,,,3LY3V,25,yunusabad
Сдаётся в аренду  квартира Ц-5,https://www.olx.uz/d/obyavlenie/sdaetsya-v-arendu-kvartira-ts-5-ID3KqCU.html,600 у.е.,600.0,у.е,,,,,3KqCU,25,yunusabad
Сдаётся  Квартира на Мегаполис,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-na-megapolis-ID33cxq.html,1 300 у.е.,1300.0,у.е,,,,,33cxq,25,yunusabad
Сдам 2*3/2/9. На Ц-5 ОР-р метро Минор. для Всех Юнусабадский,https://www.olx.uz/d/obyavlenie/sdam-23-2-9-na-ts-5-or-r-metro-minor-dlya-vseh-yunusabadskiy-ID4dZJW.html,650 у.е.,650.0,у.е,,,,,4dZJW,25,yunusabad
Срочно сдаётся 2в3 ком квартира Юнусабад Зарбулок 31,https://www.olx.uz/d/obyavlenie/srochno-sdaetsya-2v3-kom-kvartira-yunusabad-zarbulok-31-ID4dZJR.html,500 у.е.,500.0,у.е,,,,,4dZJR,25,yunusabad
Сдается 3 ком Юнусабад 4 квартал. Кирпичный дом. Новый Ремонт,https://www.olx.uz/d/obyavlenie/sdaetsya-3-kom-yunusabad-4-kvartal-kirpichnyy-dom-novyy-remont-ID4fbFz.html,600 у.е.,600.0,у.е,,,,,4fbFz,25,yunusabad
Ц-4 / Шедевр Корзинка | 3-комн 3 из 4 | 68 м2 [M:0039],https://www.olx.uz/d/obyavlenie/ts-4-shedevr-korzinka-3-komn-3-iz-4-68-m2-m0039-ID3TWFQ.html,600 у.е. Договорная,600.0,у.е,,,,,3TWFQ,25,yunusabad
Ц-6 / МИНОР • ЖК Kazakhstan • 3-комн • 87 м² • этаж 6/10 • [M:0285],https://www.olx.uz/d/obyavlenie/ts-6-minor-zhk-kazakhstan-3-komn-87-m-etazh-6-10-m0285-ID3MAwC.html,1 200 у.е.,1200.0,у.е,,,,,3MAwC,25,yunusabad
Ц-6 / Минор | 2-комн. 3 из 9 | 58 м2 [M:0036],https://www.olx.uz/d/obyavlenie/ts-6-minor-2-komn-3-iz-9-58-m2-m0036-ID3TWL5.html,500 у.е.,500.0,у.е,,,,,3TWL5,25,yunusabad
yunusobod megaplanet  yonida uy ijaraga berilad uzoq mudatga,https://www.olx.uz/d/obyavlenie/yunusobod-megaplanet-yonida-uy-ijaraga-berilad-uzoq-mudatga-ID4eZlW.html,600 у.е.,600.0,у.е,,,,,4eZlW,25,yunusabad
Сдаётся в аренду 3 комнатная квартира на Юнусабаде 13,https://www.olx.uz/d/obyavlenie/sdaetsya-v-arendu-3-komnatnaya-kvartira-na-yunusabade-13-ID3UeQC.html,550 у.е.,550.0,у.е,,,,,3UeQC,25,yunusabad
СРОЧНО только для семей сдаётся  4Х комнатная квартира на Юнусабаде!,https://www.olx.uz/d/obyavlenie/srochno-tolko-dlya-semey-sdaetsya-4h-komnatnaya-kvartira-na-yunusabade-ID4em5P.html,1 400 у.е. Договорная,1400.0,у.е,,,,,4em5P,25,yunusabad
(335) Минор! сдается 3х ком. люкс квартира в центре ЗВОНИТЕ!,https://www.olx.uz/d/obyavlenie/335-minor-sdaetsya-3h-kom-lyuks-kvartira-v-tsentre-zvonite-ID3jss5.html,1 000 у.е.,1000.0,у.е,,,,,3jss5,25,yunusabad
