district,district_display,transit_score,affordability_score,employment_score,composite_score,avg_rent_uzs,avg_rent_usd,total_jobs,avg_area,avg_rooms,rental_listings
mirzo-ulugbek,Mirzo Ulugbek,7.2,10.0,7.0,8.3,8320000,650,206,71.7,2.4,508
yunusabad,Yunusabad,5.0,5.0,10.0,6.5,0,0,290,0.0,0.0,0
yakkasarai,Yakkasaray,5.8,5.7,5.0,5.5,10240000,800,0,87.1,2.6,528
yashnabad,Yashnabad,5.0,5.0,5.8,5.3,0,0,172,0.0,0.0,0
yakkasaray,Yakkasaray,5.0,5.0,5.5,5.1,0,0,161,0.0,0.0,0
shaykhantahur,Shaykhantahur,5.0,5.0,3.5,4.5,0,0,105,0.0,0.0,0
chilonzor,Chilonzor,5.0,5.0,2.5,4.2,0,0,76,0.0,0.0,0
almazar,Almazar,5.0,5.0,2.2,4.2,0,0,69,0.0,0.0,0
sergeli,Sergeli,5.0,5.0,0.8,3.8,0,0,30,0.0,0.0,0
uchtepa,Uchtepa,5.0,5.0,0.3,3.6,0,0,14,0.0,0.0,0
yangi-hayot,Yangi-Hayot,5.0,5.0,0.3,3.6,0,0,14,0.0,0.0,0
yangi-tashkent,Yangi-Tashkent,5.0,5.0,0.0,3.5,0,0,6,0.0,0.0,0
bektemir,Bektemir,5.0,5.0,0.1,3.5,0,0,10,0.0,0.0,0
mirabad,Mirabad,4.5,0.0,6.5,3.3,12800000,1000,192,99.7,2.9,557
